ticker,report_id,segmentation_run_id,embedding_run_id,model_name,model_revision,tokenizer_revision,embedding_dimension,eligible_passage_count,embedded_count,skipped_count,truncated_count,failed_count,runtime_seconds,status,warnings,configuration_hash
KP2,9b42f11c-afea-49d9-8540-953b610f767e,083d0e4e-2a11-4cd3-a80f-bf97f3d3264c,11f6db23-4328-4b71-b92a-a32ccf9df1a1,BAAI/bge-small-en-v1.5,5c38ec7c405ec4b44b94cc5a9bb96e735b38267a,5c38ec7c405ec4b44b94cc5a9bb96e735b38267a,384,559,519,40,0,0,18.159005,COMPLETED_WITH_WARNINGS,"passage 67f3948a-8c56-4f9b-9c27-78b8f7be0612: token count 689 exceeds model limit (512), skipped rather than silently truncated; passage a78f90d9-6f16-482a-bfb2-258fb242b02a: token count 515 exceeds model limit (512), skipped rather than silently truncated; passage 495ddaea-9d4b-49ce-a4d0-e8e0ba1bf71b: token count 663 exceeds model limit (512), skipped rather than silently truncated; passage 58aac836-d4df-4772-b731-e398b31c8693: token count 779 exceeds model limit (512), skipped rather than silently truncated; passage 0a7f5319-abd9-406f-85c0-466488fc4ac9: token count 724 exceeds model limit (512), skipped rather than silently truncated; passage 1d6758d2-68a7-42a2-b3e5-b2b14aed7208: token count 625 exceeds model limit (512), skipped rather than silently truncated; passage bd8baa65-de14-4cab-8430-218a27181cdc: token count 759 exceeds model limit (512), skipped rather than silently truncated; passage 4ad08afd-5862-43ef-89f2-5038d0fd3619: token count 718 exceeds model limit (512), skipped rather than silently truncated; passage d4856e4f-67d9-4393-90af-9082ccba1954: token count 534 exceeds model limit (512), skipped rather than silently truncated; passage 78d054a9-3c98-465b-9eae-bcf7023e2014: token count 562 exceeds model limit (512), skipped rather than silently truncated; passage 9e735ded-4b23-4214-81f6-1080b95b5e57: token count 579 exceeds model limit (512), skipped rather than silently truncated; passage f6f19755-7e55-425f-9cba-370a760aa529: token count 774 exceeds model limit (512), skipped rather than silently truncated; passage 5151cb80-b6ce-4bc6-9ce0-c6bda6abf1b9: token count 762 exceeds model limit (512), skipped rather than silently truncated; passage 9c876ee8-8815-4a92-ad96-6136b8859342: token count 639 exceeds model limit (512), skipped rather than silently truncated; passage 62dbd8ec-0968-4737-b7b7-81509077feaf: token count 558 exceeds model limit (512), skipped rather than silently truncated; passage c3f1abb9-f868-4f2d-a685-8ba928b73281: token count 529 exceeds model limit (512), skipped rather than silently truncated; passage 57154041-a94e-4c58-a9f9-302998bef6d1: token count 564 exceeds model limit (512), skipped rather than silently truncated; passage 8f7b96c3-df90-434f-8c50-80e879db86d9: token count 579 exceeds model limit (512), skipped rather than silently truncated; passage c409054a-1635-48bd-acf7-149f17a74eb4: token count 785 exceeds model limit (512), skipped rather than silently truncated; passage 11620c90-0057-4ee0-8771-180db9cebef9: token count 620 exceeds model limit (512), skipped rather than silently truncated; passage fa3b5fdb-6046-4fa5-932d-e9413c7c00b1: token count 759 exceeds model limit (512), skipped rather than silently truncated; passage 69f1e951-4a39-43c9-b358-0ea61ac754c9: token count 641 exceeds model limit (512), skipped rather than silently truncated; passage cca9aa4e-cb0b-4bb6-860f-215e2a54c327: token count 793 exceeds model limit (512), skipped rather than silently truncated; passage 8d6d2466-fe4c-41c3-b004-966bea759b85: token count 801 exceeds model limit (512), skipped rather than silently truncated; passage fd50f324-a4fa-4d61-9eb0-5edebfac3a9d: token count 749 exceeds model limit (512), skipped rather than silently truncated; passage 0ec15509-62cc-434e-998b-0b1838cb0e65: token count 587 exceeds model limit (512), skipped rather than silently truncated; passage 2b3296d6-ad0d-45ba-9089-7dbf051ddbb5: token count 543 exceeds model limit (512), skipped rather than silently truncated; passage 74f646fd-03d9-4339-bf9f-2e3a01e66742: token count 722 exceeds model limit (512), skipped rather than silently truncated; passage b9d00702-27c2-4250-bd57-8b5fe1ca1255: token count 603 exceeds model limit (512), skipped rather than silently truncated; passage a564ba32-1ab8-4910-ad52-e3edceed1c9e: token count 789 exceeds model limit (512), skipped rather than silently truncated; passage 874c2a2b-0179-4c29-8cd7-028b2a9668a3: token count 587 exceeds model limit (512), skipped rather than silently truncated; passage 71ae4b35-0d17-4030-a3c2-28f2ec03478b: token count 554 exceeds model limit (512), skipped rather than silently truncated; passage da1e4616-56fc-48cd-ad11-78a84775e8dc: token count 527 exceeds model limit (512), skipped rather than silently truncated; passage cb6848e1-51c3-429f-aa61-c123566023c8: token count 515 exceeds model limit (512), skipped rather than silently truncated; passage c8dfed2e-2a07-4231-a3f7-5af46b76297e: token count 619 exceeds model limit (512), skipped rather than silently truncated; passage 39349d4d-c5a4-453a-a413-619a2dd46bbf: token count 513 exceeds model limit (512), skipped rather than silently truncated; passage 5f6b194e-e444-4881-a90a-dc32f2ca8b6a: token count 652 exceeds model limit (512), skipped rather than silently truncated; passage f046bd82-1c4d-4ecf-b9ed-8f2af8e5ada9: token count 783 exceeds model limit (512), skipped rather than silently truncated; passage ce874c13-7419-46d6-8305-663d8ed3fb6f: token count 540 exceeds model limit (512), skipped rather than silently truncated; passage ac320f0b-c5dc-494f-9fa3-be52489c75f6: token count 617 exceeds model limit (512), skipped rather than silently truncated",b6ee7c05f65d9d325f9516b70880ee03f26c5609159985f4c8cde56c0948f3a9
ACT,34ada83c-783b-46dd-811f-b6a3cfecb8ac,0ffcd031-a932-4202-8692-cf39ceeabcae,7a4ad873-7f42-41c3-956e-67506e6d6a1a,BAAI/bge-small-en-v1.5,5c38ec7c405ec4b44b94cc5a9bb96e735b38267a,5c38ec7c405ec4b44b94cc5a9bb96e735b38267a,384,1285,1285,0,0,0,54.837803,COMPLETED,,b6ee7c05f65d9d325f9516b70880ee03f26c5609159985f4c8cde56c0948f3a9
BEL,1276e697-8e26-4a65-9eb4-f11619aaef07,8edbbe6b-62c9-406d-a2fb-e46b64529beb,f39f5c60-21ea-4721-ab30-147cfbfc8d55,BAAI/bge-small-en-v1.5,5c38ec7c405ec4b44b94cc5a9bb96e735b38267a,5c38ec7c405ec4b44b94cc5a9bb96e735b38267a,384,762,757,5,0,0,49.431705,COMPLETED_WITH_WARNINGS,"passage 981c30f8-c5c3-4e0b-b295-a80eb3883b53: token count 568 exceeds model limit (512), skipped rather than silently truncated; passage 327fa1ad-60fc-4dfd-811e-f1d8f387e710: token count 654 exceeds model limit (512), skipped rather than silently truncated; passage 468a92f8-d1b9-4877-8a82-8f490f34b33e: token count 629 exceeds model limit (512), skipped rather than silently truncated; passage 3d9da5e6-3110-4c51-bebf-b797dde8c2ba: token count 550 exceeds model limit (512), skipped rather than silently truncated; passage 046b886c-c5a6-4273-bbdb-e7965c64c5d1: token count 567 exceeds model limit (512), skipped rather than silently truncated",b6ee7c05f65d9d325f9516b70880ee03f26c5609159985f4c8cde56c0948f3a9
KP2,a2262f14-20d8-46ef-b930-b5ecd78bd669,b80b4ed5-f2c7-4229-bc3b-2fd7fa8ce219,446d0843-bdaf-45d9-862f-4b2fe1be6ea3,BAAI/bge-small-en-v1.5,5c38ec7c405ec4b44b94cc5a9bb96e735b38267a,5c38ec7c405ec4b44b94cc5a9bb96e735b38267a,384,527,493,34,0,0,16.208367,COMPLETED_WITH_WARNINGS,"passage cd38e341-fac8-42ed-8d6c-bcaf7ebd21d6: token count 515 exceeds model limit (512), skipped rather than silently truncated; passage 0a79e710-f8ad-4ea8-904c-5248832db8fd: token count 756 exceeds model limit (512), skipped rather than silently truncated; passage cc5b4ea7-82c1-4686-b04c-f3307aed96c5: token count 652 exceeds model limit (512), skipped rather than silently truncated; passage 1fa8c9cf-4720-4ea7-a9fb-7daad01cc8a1: token count 648 exceeds model limit (512), skipped rather than silently truncated; passage 5e9e5994-6cf2-4474-8269-cbff89c1774e: token count 712 exceeds model limit (512), skipped rather than silently truncated; passage 9ca9464a-8f81-4c34-8023-63e6ce0f4537: token count 675 exceeds model limit (512), skipped rather than silently truncated; passage e13ee649-8202-4dd5-870b-e6cd900d90bb: token count 617 exceeds model limit (512), skipped rather than silently truncated; passage fd67dbc5-ef64-478a-91b0-fbce5d8fa106: token count 657 exceeds model limit (512), skipped rather than silently truncated; passage 6462e8fc-9d72-4c89-82be-0975218bb286: token count 596 exceeds model limit (512), skipped rather than silently truncated; passage ba528302-a394-4645-a5db-59ef9326c241: token count 563 exceeds model limit (512), skipped rather than silently truncated; passage 73f72519-d8af-4e95-9af9-5e2d15b6f48b: token count 529 exceeds model limit (512), skipped rather than silently truncated; passage df71ef71-d6d7-4dce-aecc-67ac44c608a1: token count 623 exceeds model limit (512), skipped rather than silently truncated; passage c4c4fe3e-7720-42af-94ae-999a35f6f375: token count 636 exceeds model limit (512), skipped rather than silently truncated; passage 7a721f57-5da0-45df-819f-665cf1bb3ca9: token count 646 exceeds model limit (512), skipped rather than silently truncated; passage a98cea28-9d79-4dcb-9bbe-58a98404956b: token count 557 exceeds model limit (512), skipped rather than silently truncated; passage 66961423-2d5d-4ea3-9d47-17650d96a05b: token count 709 exceeds model limit (512), skipped rather than silently truncated; passage d03e09ef-46bf-498f-9aa2-4e47f60ac4cf: token count 698 exceeds model limit (512), skipped rather than silently truncated; passage 640354c4-d412-47da-9fc0-899523dd74b7: token count 514 exceeds model limit (512), skipped rather than silently truncated; passage 13f996da-fe73-4cf4-87cb-d79eebf0e8d0: token count 610 exceeds model limit (512), skipped rather than silently truncated; passage 7061fccf-db70-4ba5-a458-dd57c10df884: token count 718 exceeds model limit (512), skipped rather than silently truncated; passage ee65d8d9-ba0d-4a55-8a94-1e84f1b09f2a: token count 587 exceeds model limit (512), skipped rather than silently truncated; passage 4b83ca76-927c-4fcb-a13b-c093f0ff2018: token count 534 exceeds model limit (512), skipped rather than silently truncated; passage 2cfe36ab-779f-4fc7-9e75-0d398746cfa2: token count 584 exceeds model limit (512), skipped rather than silently truncated; passage 7e15286f-d6fe-4d39-9eba-dfde12b85fb2: token count 549 exceeds model limit (512), skipped rather than silently truncated; passage d2f473bd-8011-4759-afcc-326469ba4f5e: token count 522 exceeds model limit (512), skipped rather than silently truncated; passage db11f214-09ee-4013-8102-fb1ca955a905: token count 603 exceeds model limit (512), skipped rather than silently truncated; passage 0fd5ea9d-eac8-4e00-96d5-fa254eafe4f2: token count 545 exceeds model limit (512), skipped rather than silently truncated; passage 9f291385-0d89-4d42-ad09-b5f3823ba71f: token count 638 exceeds model limit (512), skipped rather than silently truncated; passage fbab60a9-6c9c-4d16-96d6-3f7183d5e44d: token count 543 exceeds model limit (512), skipped rather than silently truncated; passage d0d4c30b-d617-4124-82df-310f0139934f: token count 631 exceeds model limit (512), skipped rather than silently truncated; passage b74b175c-d9db-43ea-ba73-8e023cbd12df: token count 536 exceeds model limit (512), skipped rather than silently truncated; passage 48b70ede-3999-440d-82fb-6ea6ade0f365: token count 741 exceeds model limit (512), skipped rather than silently truncated; passage d7a10ba6-007e-4804-9610-2a276048bd71: token count 554 exceeds model limit (512), skipped rather than silently truncated; passage 39b911bf-b514-4d8b-80f8-789d7eb7cb59: token count 610 exceeds model limit (512), skipped rather than silently truncated",b6ee7c05f65d9d325f9516b70880ee03f26c5609159985f4c8cde56c0948f3a9
ACT,df83cc42-dc79-40f7-802e-bd6cf9cc0e57,013d4894-0466-4f4a-b8da-c798b4122eca,f1cb71fd-33aa-448c-b269-fa63ada99a25,BAAI/bge-small-en-v1.5,5c38ec7c405ec4b44b94cc5a9bb96e735b38267a,5c38ec7c405ec4b44b94cc5a9bb96e735b38267a,384,1259,1259,0,0,0,79.613919,COMPLETED,,b6ee7c05f65d9d325f9516b70880ee03f26c5609159985f4c8cde56c0948f3a9
BEL,6e756e03-f4f6-4223-a495-88b691b06da6,9a985331-ce7f-4570-9db5-d27e10e569cb,e9739bd3-a9cb-404b-ae46-1a8abe9d8d09,BAAI/bge-small-en-v1.5,5c38ec7c405ec4b44b94cc5a9bb96e735b38267a,5c38ec7c405ec4b44b94cc5a9bb96e735b38267a,384,830,827,3,0,0,74.929259,COMPLETED_WITH_WARNINGS,"passage dacb2724-7e84-44bc-b4a3-9a6184ba988a: token count 523 exceeds model limit (512), skipped rather than silently truncated; passage db6b5798-eb9c-4837-b003-5c46dcf6dd28: token count 522 exceeds model limit (512), skipped rather than silently truncated; passage 9d5cb03b-91d8-4480-9321-cad6a779a6f6: token count 868 exceeds model limit (512), skipped rather than silently truncated",b6ee7c05f65d9d325f9516b70880ee03f26c5609159985f4c8cde56c0948f3a9
KP2,5c665d1e-a960-435d-ad3f-6053ff31aae7,3939a595-f9ad-4048-870e-65cc3297158e,5c07b6b7-b06f-438d-98ef-4c588fdf91a8,BAAI/bge-small-en-v1.5,5c38ec7c405ec4b44b94cc5a9bb96e735b38267a,5c38ec7c405ec4b44b94cc5a9bb96e735b38267a,384,520,486,34,0,0,40.10346,COMPLETED_WITH_WARNINGS,"passage 055bb150-69ec-48f1-9a45-a37a7226cbcf: token count 531 exceeds model limit (512), skipped rather than silently truncated; passage 9b0cf125-fa7e-4a0e-8c90-7cc1f6feccf2: token count 872 exceeds model limit (512), skipped rather than silently truncated; passage 02023767-7dc2-4d16-a69e-e48b1d9ab3bd: token count 757 exceeds model limit (512), skipped rather than silently truncated; passage 355c92df-0fd8-404b-813a-103fa7d33ba6: token count 632 exceeds model limit (512), skipped rather than silently truncated; passage 6f5677d1-7c2a-49e9-9490-426cbe879322: token count 708 exceeds model limit (512), skipped rather than silently truncated; passage 4087312b-5116-403a-9ffa-eaf53a36c297: token count 807 exceeds model limit (512), skipped rather than silently truncated; passage 36ee66cf-b61d-4566-9e07-a22b7dad488c: token count 561 exceeds model limit (512), skipped rather than silently truncated; passage 3e1186cf-d6f6-4ec8-873b-0a59826d96b4: token count 811 exceeds model limit (512), skipped rather than silently truncated; passage 1b640074-ce85-4e98-9709-a580cbf75171: token count 651 exceeds model limit (512), skipped rather than silently truncated; passage 58ed0237-2341-4e66-b495-62788851ec87: token count 732 exceeds model limit (512), skipped rather than silently truncated; passage cfac7260-0323-40d8-a468-c81886f7e308: token count 515 exceeds model limit (512), skipped rather than silently truncated; passage f294f10b-422d-4865-9260-73d690fc8eb8: token count 613 exceeds model limit (512), skipped rather than silently truncated; passage 13d16d59-a83d-4b4e-8049-e89b7647e336: token count 659 exceeds model limit (512), skipped rather than silently truncated; passage 9ead69d9-b20d-4cc3-b619-7683c71d6df1: token count 561 exceeds model limit (512), skipped rather than silently truncated; passage becc14c1-eeb6-493b-8f5a-fd128aa8481b: token count 513 exceeds model limit (512), skipped rather than silently truncated; passage b96d0165-984b-4af4-8edf-a644b5986765: token count 675 exceeds model limit (512), skipped rather than silently truncated; passage 318ee8fa-ca71-4087-b61a-3578832f6360: token count 753 exceeds model limit (512), skipped rather than silently truncated; passage 6e99138a-7e49-40a8-885a-06504b3933b3: token count 646 exceeds model limit (512), skipped rather than silently truncated; passage ec4d145d-63bb-4ef1-af9b-3a7dcaaec429: token count 564 exceeds model limit (512), skipped rather than silently truncated; passage e9d3985c-9a7e-422d-84c8-08c993adf212: token count 583 exceeds model limit (512), skipped rather than silently truncated; passage b26b0d0f-029e-4d58-81be-f3b46bc4e9bc: token count 585 exceeds model limit (512), skipped rather than silently truncated; passage e426e067-a271-4aa3-bc2d-1d492dc6cff8: token count 718 exceeds model limit (512), skipped rather than silently truncated; passage f7cde37c-ac71-48b7-909d-cf97b3a3222a: token count 687 exceeds model limit (512), skipped rather than silently truncated; passage 18998895-1d78-420a-99fa-2dabad099fcd: token count 615 exceeds model limit (512), skipped rather than silently truncated; passage b14516da-62a8-494f-ac31-b1924527597e: token count 537 exceeds model limit (512), skipped rather than silently truncated; passage b01aa4bb-c99d-4a44-b2f9-76b8b10a3338: token count 645 exceeds model limit (512), skipped rather than silently truncated; passage dd017e1a-4dcf-4085-97ac-561f22558a13: token count 723 exceeds model limit (512), skipped rather than silently truncated; passage d522513e-d3b5-44ed-b454-69e4bd278049: token count 527 exceeds model limit (512), skipped rather than silently truncated; passage 93773a93-167a-46ab-9f09-4bd389b8f8cd: token count 533 exceeds model limit (512), skipped rather than silently truncated; passage bcf1409c-2cd4-4e5d-aae1-2934ff934f34: token count 522 exceeds model limit (512), skipped rather than silently truncated; passage 6616d95b-b601-437d-a0ad-ef763f7134f6: token count 576 exceeds model limit (512), skipped rather than silently truncated; passage e3b21a9e-b90f-4e8e-9c54-01c9684e7fcf: token count 615 exceeds model limit (512), skipped rather than silently truncated; passage 137a1723-b734-4c5d-9758-bd8a530135d7: token count 547 exceeds model limit (512), skipped rather than silently truncated; passage 03e86cb3-b5bd-4293-89a0-caea742b0366: token count 709 exceeds model limit (512), skipped rather than silently truncated",b6ee7c05f65d9d325f9516b70880ee03f26c5609159985f4c8cde56c0948f3a9
ACT,ccfc1325-dd2d-4f31-af07-f5146a0fdf03,b9a6f6ad-5393-455e-b9bf-b1e050695e29,aff48375-2ff3-4d7c-8afc-2851f4cf0415,BAAI/bge-small-en-v1.5,5c38ec7c405ec4b44b94cc5a9bb96e735b38267a,5c38ec7c405ec4b44b94cc5a9bb96e735b38267a,384,1174,1174,0,0,0,55.939866,COMPLETED,,b6ee7c05f65d9d325f9516b70880ee03f26c5609159985f4c8cde56c0948f3a9
KP2,15fb5b0d-cb2a-4633-8851-a31c37abe2f1,dc2518b7-4fae-4f92-8e57-39042e1f4e3f,24df3d1a-d839-4b85-80a7-4e065d86c673,BAAI/bge-small-en-v1.5,5c38ec7c405ec4b44b94cc5a9bb96e735b38267a,5c38ec7c405ec4b44b94cc5a9bb96e735b38267a,384,496,472,24,0,0,37.241925,COMPLETED_WITH_WARNINGS,"passage 80ca3bcb-3c8c-459b-8a05-e592a9bd530a: token count 522 exceeds model limit (512), skipped rather than silently truncated; passage 853cf6fc-43f2-4bae-8712-091edef9cc38: token count 534 exceeds model limit (512), skipped rather than silently truncated; passage bcbdc0af-6bfd-4233-9162-cb615db0e6a4: token count 522 exceeds model limit (512), skipped rather than silently truncated; passage 8f7abf4b-2e6b-4403-abd6-fe06de211554: token count 853 exceeds model limit (512), skipped rather than silently truncated; passage 64adb543-e125-4e9b-b3c4-c955f1c5d841: token count 685 exceeds model limit (512), skipped rather than silently truncated; passage 3639ceef-f31b-45d3-bff1-2f832b11407e: token count 707 exceeds model limit (512), skipped rather than silently truncated; passage 8f11ef18-ce9a-4aab-bc8a-b3b5a57e271b: token count 725 exceeds model limit (512), skipped rather than silently truncated; passage c38259bf-116d-41c7-9f82-6f932a469fc5: token count 679 exceeds model limit (512), skipped rather than silently truncated; passage a2dc61d5-4e73-4068-a0f5-020ab6f0cf74: token count 724 exceeds model limit (512), skipped rather than silently truncated; passage f184928a-b3c8-4ad7-b16f-77f15582e5eb: token count 636 exceeds model limit (512), skipped rather than silently truncated; passage 49f683cd-ace0-44b3-922a-5bf82cc49797: token count 953 exceeds model limit (512), skipped rather than silently truncated; passage 1cf3ba8c-4ae5-432a-8aa0-992ed70fc3df: token count 683 exceeds model limit (512), skipped rather than silently truncated; passage ebb3e196-dcb9-402f-be46-748935f52907: token count 529 exceeds model limit (512), skipped rather than silently truncated; passage 5b0db87c-09bc-4c76-82a3-96e7bdcb3b75: token count 747 exceeds model limit (512), skipped rather than silently truncated; passage 154964d3-9b99-4dff-a987-df6773a99bd8: token count 757 exceeds model limit (512), skipped rather than silently truncated; passage 7b2521c6-a4ff-4ac9-9892-4953340195b7: token count 635 exceeds model limit (512), skipped rather than silently truncated; passage c75b3c28-3e7c-4063-af63-093ef248a425: token count 657 exceeds model limit (512), skipped rather than silently truncated; passage 208687b7-1768-4c21-9448-fd70faf2f7c2: token count 667 exceeds model limit (512), skipped rather than silently truncated; passage 9613931b-3183-4dda-b53b-2e1aaa9712c6: token count 520 exceeds model limit (512), skipped rather than silently truncated; passage 7731c478-9f2a-48fe-920e-33d79384a5a4: token count 842 exceeds model limit (512), skipped rather than silently truncated; passage bca2caa6-185d-4bc7-9dac-36926d847595: token count 529 exceeds model limit (512), skipped rather than silently truncated; passage e7cef808-ad80-4752-8a87-7b5887347803: token count 599 exceeds model limit (512), skipped rather than silently truncated; passage 0fe08886-50c5-4adf-8172-c9494873748a: token count 531 exceeds model limit (512), skipped rather than silently truncated; passage 46c3b8b1-4742-4791-9e61-9a7760161052: token count 590 exceeds model limit (512), skipped rather than silently truncated",b6ee7c05f65d9d325f9516b70880ee03f26c5609159985f4c8cde56c0948f3a9
SBP,f8ea13f9-796f-4744-a625-a1325ff353b7,36fd2ab0-491c-450a-83e4-9ed98b586df4,44cc5900-f710-4d15-8491-19d6b790ae8b,BAAI/bge-small-en-v1.5,5c38ec7c405ec4b44b94cc5a9bb96e735b38267a,5c38ec7c405ec4b44b94cc5a9bb96e735b38267a,384,200,200,0,0,0,19.016559,COMPLETED,,b6ee7c05f65d9d325f9516b70880ee03f26c5609159985f4c8cde56c0948f3a9
