ticker,report_id,passage_id,passage_type,first_page_number,last_page_number,word_count,token_count,share_of_report_words,participates_in_alignment_gap,cumulative_corpus_word_share
KP2,9b42f11c-afea-49d9-8540-953b610f767e,cca9aa4e-cb0b-4bb6-860f-215e2a54c327,PARAGRAPH,80,80,691,793,0.011935194141218738,True,0.010794392591016158
KP2,9b42f11c-afea-49d9-8540-953b610f767e,8d6d2466-fe4c-41c3-b004-966bea759b85,HEADING_WITH_BODY,84,84,271,801,0.00468080696421169,True,0.010990562145211798
KP2,9b42f11c-afea-49d9-8540-953b610f767e,fd50f324-a4fa-4d61-9eb0-5edebfac3a9d,HEADING_WITH_BODY,85,85,271,749,0.00468080696421169,True,0.011186731699407438
KP2,9b42f11c-afea-49d9-8540-953b610f767e,0ec15509-62cc-434e-998b-0b1838cb0e65,HEADING_WITH_BODY,86,86,239,587,0.004128091750725439,True,0.01135973732100433
KP2,9b42f11c-afea-49d9-8540-953b610f767e,2b3296d6-ad0d-45ba-9089-7dbf051ddbb5,PARAGRAPH,88,88,482,543,0.008325272903136659,True,0.011708644055772958
KP2,9b42f11c-afea-49d9-8540-953b610f767e,74f646fd-03d9-4339-bf9f-2e3a01e66742,PARAGRAPH,89,89,618,722,0.010674312560453227,True,0.012155997504086262
KP2,9b42f11c-afea-49d9-8540-953b610f767e,b9d00702-27c2-4250-bd57-8b5fe1ca1255,LIST,93,93,530,603,0.009154345723366035,True,0.012539650137753012
KP2,9b42f11c-afea-49d9-8540-953b610f767e,a564ba32-1ab8-4910-ad52-e3edceed1c9e,PARAGRAPH,94,94,645,789,0.011140666021832252,True,0.013006548154196508
KP2,9b42f11c-afea-49d9-8540-953b610f767e,874c2a2b-0179-4c29-8cd7-028b2a9668a3,HEADING_WITH_BODY,101,102,302,587,0.005216249827276496,True,0.013225157768097184
KP2,9b42f11c-afea-49d9-8540-953b610f767e,71ae4b35-0d17-4030-a3c2-28f2ec03478b,PARAGRAPH,102,102,430,554,0.007427110681221501,True,0.013536423112392849
KP2,9b42f11c-afea-49d9-8540-953b610f767e,da1e4616-56fc-48cd-ad11-78a84775e8dc,TABLE_CONTEXT,114,114,420,527,0.007254387177007047,True,0.013840449727751405
KP2,9b42f11c-afea-49d9-8540-953b610f767e,cb6848e1-51c3-429f-aa61-c123566023c8,HEADING_WITH_BODY,115,115,264,515,0.0045599005112615726,True,0.014031552171691069
KP2,9b42f11c-afea-49d9-8540-953b610f767e,c8dfed2e-2a07-4231-a3f7-5af46b76297e,PARAGRAPH,124,124,452,619,0.007807102390493298,True,0.014358742719648371
KP2,9b42f11c-afea-49d9-8540-953b610f767e,39349d4d-c5a4-453a-a413-619a2dd46bbf,MULTI_PARAGRAPH,133,133,335,513,0.005786237391184192,True,0.014601240139041505
KP2,9b42f11c-afea-49d9-8540-953b610f767e,5f6b194e-e444-4881-a90a-dc32f2ca8b6a,HEADING_WITH_BODY,140,141,344,652,0.0059416885449772,True,0.014850252414478037
KP2,9b42f11c-afea-49d9-8540-953b610f767e,f046bd82-1c4d-4ecf-b9ed-8f2af8e5ada9,PARAGRAPH,141,141,505,783,0.008722536962829902,True,0.015215808225802015
KP2,9b42f11c-afea-49d9-8540-953b610f767e,ce874c13-7419-46d6-8305-663d8ed3fb6f,HEADING_WITH_BODY,142,142,364,540,0.0062871355534061075,True,0.015479297959112763
KP2,9b42f11c-afea-49d9-8540-953b610f767e,ac320f0b-c5dc-494f-9fa3-be52489c75f6,HEADING_WITH_BODY,148,148,313,617,0.005406245681912394,True,0.015705870174844257
BEL,1276e697-8e26-4a65-9eb4-f11619aaef07,981c30f8-c5c3-4e0b-b295-a80eb3883b53,PARAGRAPH,39,39,468,568,0.008719305436524202,,0.016044642689100934
BEL,1276e697-8e26-4a65-9eb4-f11619aaef07,327fa1ad-60fc-4dfd-811e-f1d8f387e710,LIST,115,115,553,654,0.010302939970935648,,0.016444944399323033
BEL,1276e697-8e26-4a65-9eb4-f11619aaef07,468a92f8-d1b9-4877-8a82-8f490f34b33e,HEADING_WITH_BODY,118,119,251,629,0.00467637962514439,,0.016626636495644456
BEL,1276e697-8e26-4a65-9eb4-f11619aaef07,3d9da5e6-3110-4c51-bebf-b797dde8c2ba,MULTI_PARAGRAPH,119,119,219,550,0.004080187800424787,,0.016785164659367132
BEL,1276e697-8e26-4a65-9eb4-f11619aaef07,046b886c-c5a6-4273-bbdb-e7965c64c5d1,MULTI_PARAGRAPH,119,119,288,567,0.005365726422476432,,0.016993640052755856
KP2,a2262f14-20d8-46ef-b930-b5ecd78bd669,cd38e341-fac8-42ed-8d6c-bcaf7ebd21d6,HEADING_WITH_BODY,5,5,389,515,0.007640484748492526,True,0.017275226608409376
KP2,a2262f14-20d8-46ef-b930-b5ecd78bd669,0a79e710-f8ad-4ea8-904c-5248832db8fd,PARAGRAPH,7,7,556,756,0.010920590026122994,True,0.017677699937312608
KP2,a2262f14-20d8-46ef-b930-b5ecd78bd669,cc5b4ea7-82c1-4686-b04c-f3307aed96c5,PARAGRAPH,16,16,544,652,0.01068489383850883,True,0.018071486791491308
KP2,a2262f14-20d8-46ef-b930-b5ecd78bd669,1fa8c9cf-4720-4ea7-a9fb-7daad01cc8a1,PARAGRAPH,17,17,522,648,0.010252784161216192,True,0.01844934844200837
KP2,a2262f14-20d8-46ef-b930-b5ecd78bd669,5e9e5994-6cf2-4474-8269-cbff89c1774e,PARAGRAPH,18,18,585,712,0.011490189146190561,True,0.018872814084829218
KP2,a2262f14-20d8-46ef-b930-b5ecd78bd669,9ca9464a-8f81-4c34-8023-63e6ce0f4537,PARAGRAPH,20,20,574,675,0.011274134307544242,True,0.019288317125819243
KP2,a2262f14-20d8-46ef-b930-b5ecd78bd669,e13ee649-8202-4dd5-870b-e6cd900d90bb,PARAGRAPH,21,21,454,617,0.008917172431402588,True,0.01961695541956397
KP2,a2262f14-20d8-46ef-b930-b5ecd78bd669,fd67dbc5-ef64-478a-91b0-fbce5d8fa106,PARAGRAPH,24,24,490,657,0.009624260994245085,True,0.019971653137482285
KP2,a2262f14-20d8-46ef-b930-b5ecd78bd669,6462e8fc-9d72-4c89-82be-0975218bb286,PARAGRAPH,25,25,507,596,0.009958163926698486,True,0.02033865669459368
KP2,a2262f14-20d8-46ef-b930-b5ecd78bd669,ba528302-a394-4645-a5db-59ef9326c241,PARAGRAPH,32,32,451,563,0.008858248384499048,True,0.020665123369657274
KP2,a2262f14-20d8-46ef-b930-b5ecd78bd669,73f72519-d8af-4e95-9af9-5e2d15b6f48b,PARAGRAPH,53,53,460,529,0.009035020525209672,True,0.020998104900764265
KP2,a2262f14-20d8-46ef-b930-b5ecd78bd669,df71ef71-d6d7-4dce-aecc-67ac44c608a1,PARAGRAPH,54,54,530,623,0.01040991495295897,True,0.021381757534431015
KP2,a2262f14-20d8-46ef-b930-b5ecd78bd669,c4c4fe3e-7720-42af-94ae-999a35f6f375,PARAGRAPH,55,55,527,636,0.010350990906055428,True,0.02176323854941663
KP2,a2262f14-20d8-46ef-b930-b5ecd78bd669,7a721f57-5da0-45df-819f-665cf1bb3ca9,PARAGRAPH,56,56,547,646,0.01074381788541237,True,0.022159197022276464
KP2,a2262f14-20d8-46ef-b930-b5ecd78bd669,a98cea28-9d79-4dcb-9bbe-58a98404956b,PARAGRAPH,58,58,455,557,0.008936813780370435,True,0.0224885591889149
KP2,a2262f14-20d8-46ef-b930-b5ecd78bd669,66961423-2d5d-4ea3-9d47-17650d96a05b,PARAGRAPH,71,71,600,709,0.011784809380708267,True,0.02292288292514141
KP2,a2262f14-20d8-46ef-b930-b5ecd78bd669,d03e09ef-46bf-498f-9aa2-4e47f60ac4cf,LIST,73,73,597,698,0.011725885333804725,True,0.023355035042686784
KP2,a2262f14-20d8-46ef-b930-b5ecd78bd669,640354c4-d412-47da-9fc0-899523dd74b7,PARAGRAPH,76,76,417,514,0.008190442519592245,True,0.02365689003936421
