publication_id,target_passage_id,ticker,source_passage_id,heading
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,debbc357-f9d0-50bd-a865-b0a7d6c955ce,KP2,05aa1ef2-2ec7-430b-b514-04ec764066f1,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,49c63ec1-8315-5d5a-9f40-901c26eca074,KP2,d9faf2a0-0227-4386-9efb-ff8b72872694,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,01af17b2-077a-5d17-a16d-a4e6525c1226,KP2,4f21d1d7-d6e9-413f-b1e4-8da9886110c8,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,3f52b594-4e1c-56fb-b9a2-c06c12545386,KP2,ed122ae1-bf4a-4c52-8122-3b3aad9459bf,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,d09c052e-ab5c-5107-8e9a-fb061b101668,KP2,e6e19fcf-6946-4a0d-a88a-dadf66a03e86,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,7505299c-61b7-58c4-8116-74e7d3de3d61,KP2,1931c3dc-e38c-437d-b484-3e5ae049a069,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,02e40618-5367-5411-a72a-3f8eed2462bd,KP2,c0b0b1b4-9cbf-4a15-954e-08f3ef76519a,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,55ef7306-88d2-5957-8998-94b79a32d6ed,KP2,07090026-4e77-4356-a15d-15394af81a64,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,2701bfd1-8749-5cae-b6fb-2a8d2a19e08c,KP2,66218eb6-cbe6-4cb7-98ce-c9fa8f56df36,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,bf70dbb6-4bfc-5102-861a-96535c3a5120,KP2,79e11c5e-05fc-4ae9-aeaf-f685fc9908f0,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,5b51627e-fbc5-547f-9dd3-639d5159a837,KP2,31f30a31-a5ec-45bb-9843-98dff784abd6,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,b18acc7e-5225-5bc9-b85c-d72da09088ae,KP2,bff30cab-775f-405e-8103-37e2cf1e1119,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,9657c961-6908-5566-a562-a14d24786c54,KP2,cf26d9a8-d35e-4497-9150-443db81cc52b,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,1f394afd-502b-5e40-ad78-55d6b2b97c3c,KP2,37dc1544-f53f-406a-946c-efc83a4c5c41,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,e22e56ef-16d4-5f31-90f4-70a992efa47c,KP2,41c42afa-eed4-4300-8913-4ca18b9bf9bd,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,5051e92b-71d5-5e20-a27f-fda66b7f9518,KP2,279e25c5-82a5-44ab-bd4a-59aa430ad415,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,486efc9c-986b-57f0-8739-956494a7bf29,KP2,e01626b9-8e31-4f72-a2ca-e34f938e7224,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,ba41d47e-b764-536f-ba56-3ff60e7467be,KP2,667560bb-db0a-4495-8afa-524b7201cae1,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,df63d05d-020a-5db7-99a7-b4c307be00e8,KP2,80bd7bc5-0d1e-44c6-841e-604a46616cb6,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,34b87674-4436-5e11-9b2f-de40c259972a,KP2,a2e278b5-e252-463e-9f78-2dade36428e2,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,b45334d3-dded-5024-a9fc-1e15121cb4f8,KP2,25770ee2-9eee-40d6-a369-082f3a138d83,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,c985380d-2f94-5d7c-b905-f41c78121468,KP2,e0144b8a-1539-4f43-a777-cdd533fb3ac9,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,70d164de-30e5-5330-998b-6b9f413df5b4,KP2,e4bc17f2-8c18-4819-ae53-0c8d89aaf2fb,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,de090b0d-bf97-5876-98c2-9d9179cabdbc,KP2,76414646-7955-4001-b96b-1840d3a2b8e2,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,1fedff2d-345d-5249-8cc3-1128f9149da6,KP2,62c96b0e-b387-4dea-b9b4-3e51da4ae3e5,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,938899d1-1b68-5997-856b-d0fc37db57e4,KP2,c4d39853-6e7f-4c7e-b53d-0168c75bb844,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,27972703-4b81-56e0-b88c-1da3a7eb0e32,KP2,ad314ed8-93d2-495a-b923-ee90a7d00e4f,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,1943f238-21c7-5637-a1be-d06684277c81,KP2,83293876-bc92-41b1-b76f-6a80cfc2849c,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,6cef63f1-5fd3-5de9-b637-adeb0deeef88,KP2,2703417f-7cf7-4ab9-b1c1-aca73b3216c3,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,617595d2-40b1-59bc-95e3-7e86642ce097,KP2,82c2d163-563a-45f1-ab5e-290a338515fa,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,7d26afc2-f89e-5ef5-a10b-39cf33684744,KP2,726e07e3-ca1b-4877-a355-1bc5d2b4977a,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,da04ce31-7005-586f-94c6-f4de19cc0df2,KP2,f857b871-83f4-4565-826d-315988c778db,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,2fed0757-9aa2-5a6a-902d-cdececfc7eb0,KP2,f3e5b719-e03d-4be9-8d35-abed00d6e1eb,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,9a1e6bb6-f6dd-5868-8251-9912ce0ca5a5,KP2,e404ec89-9117-4c23-baad-aacc13aea702,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,69f263e0-f256-5446-9b0f-c908297d35d7,KP2,3ae947cc-ffdd-4d04-88fc-6a6dcfc46ee1,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,a7570796-026e-52d3-8dd3-11848edb09e7,KP2,8ecfde62-8f3d-4aa7-a0de-f076b9f39499,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,415f5a40-a7a3-5e0d-993f-24b03a771b4e,KP2,9fc01d30-09f1-4a40-86f8-027c88303f60,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,940ee39d-2f04-5ba6-aa93-dbf97f0ebaa3,KP2,7526de56-8f87-4456-99dd-0adaa7aefc42,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,4f106857-0421-5c8d-bc73-e138cae8fe80,KP2,01a572e2-a421-401f-bf8f-484c9bc58cf9,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,6b4c9ad6-4009-528b-ac8b-cc3d246679fd,KP2,b9290570-61bc-47a2-8801-6382aa620c70,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,0fc08108-99d6-57fb-a0c8-f769a4ca8bf7,KP2,b3347889-495f-40d1-84bf-173707de9072,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,ecb777b3-7190-5e19-ba29-aa182265de58,KP2,e290d3a4-4307-4f2b-bf29-e6393ecd52a5,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,ff8c60cc-77fb-5ac6-8551-da628f4e1fc7,KP2,b92f26cd-f2c6-47b8-9293-2676053d49e3,
