ticker,report_pair_id,language_signal_run_id,configuration_hash,feature_run_id,alignment_run_id,primary_dictionary_id,dictionaries_in_bundle,structured_content_rule_version_folded_in_hash,total_corpus_passage_count,status,language_signal_quality
BEL,9586003a-ee0f-45b8-83ed-1eeb58a36532,0a727076-4a2d-4be3-8cb9-2a8752514063,f118a2afc5a94265c4984ef0ce358260025f4173baae7d4192be1697c08d4066,e3653e07-e717-482f-9fa4-1c8a04488b2e,fe7dbdfe-ef62-47b1-8751-6d9a3b28d86e,b9c49dc8-0ae4-481e-9167-e626b25c2f44,custom_domain_taxonomy:1.0.0|loughran_mcdonald:1993-2025,True,70044,COMPLETED_WITH_WARNINGS,NEEDS_REVIEW
BEL,f2bf4ba7-cd10-4079-b827-e8a9ee1af1f3,884e0b74-cb77-4d23-b05d-2f973a86525c,f118a2afc5a94265c4984ef0ce358260025f4173baae7d4192be1697c08d4066,bbcbe07e-3a4e-416f-86a4-6e758090ade2,24eeadf0-1892-4d3b-9cec-163a47eb7236,b9c49dc8-0ae4-481e-9167-e626b25c2f44,custom_domain_taxonomy:1.0.0|loughran_mcdonald:1993-2025,True,70044,COMPLETED_WITH_WARNINGS,NEEDS_REVIEW
BEL,99605b80-c80b-483a-9156-3405eb9a5c71,7121e5c3-2ef5-4e63-90b5-2b576b825ba7,f118a2afc5a94265c4984ef0ce358260025f4173baae7d4192be1697c08d4066,a8514f64-2c60-4690-8766-d74815b72f30,d8d554b7-0491-4c2f-87ef-56b910a89938,b9c49dc8-0ae4-481e-9167-e626b25c2f44,custom_domain_taxonomy:1.0.0|loughran_mcdonald:1993-2025,True,70044,COMPLETED_WITH_WARNINGS,NEEDS_REVIEW
BEL,797dd800-261d-4097-8bc9-86a0d1d27555,811c9115-d829-4f66-8fee-428c9d6f2390,f118a2afc5a94265c4984ef0ce358260025f4173baae7d4192be1697c08d4066,b8a361b0-d864-4dd2-b76d-51b7fa7eab68,59e9517b-5229-4340-9ecb-666943fbc5b0,b9c49dc8-0ae4-481e-9167-e626b25c2f44,custom_domain_taxonomy:1.0.0|loughran_mcdonald:1993-2025,True,70044,COMPLETED_WITH_WARNINGS,NEEDS_REVIEW
BEL,f61ef31c-7a51-4fcc-8d4b-e9c04f9db807,5d1093a2-7651-462b-b4cb-4aa72b5b505b,f118a2afc5a94265c4984ef0ce358260025f4173baae7d4192be1697c08d4066,cd3fd907-7fe7-44ca-a2f4-a99c28e2b555,845c91bd-8d4a-4cd3-98f3-d6bd104d2f57,b9c49dc8-0ae4-481e-9167-e626b25c2f44,custom_domain_taxonomy:1.0.0|loughran_mcdonald:1993-2025,True,70044,COMPLETED_WITH_WARNINGS,NEEDS_REVIEW
KP2,393f45ef-e61e-47f4-8ea5-f299cb518d79,12babef2-6752-4825-a5a7-0853fa054b40,f118a2afc5a94265c4984ef0ce358260025f4173baae7d4192be1697c08d4066,ab5cd78c-e995-4dc4-87ae-491782471592,909ac173-02a1-4be1-8e1b-1cbf913bf080,b9c49dc8-0ae4-481e-9167-e626b25c2f44,custom_domain_taxonomy:1.0.0|loughran_mcdonald:1993-2025,True,70044,COMPLETED_WITH_WARNINGS,NEEDS_REVIEW
KP2,6b6ff484-ea7d-4b87-9768-2d51318ec849,4f276601-f9d8-439e-a72d-17a3c4b62d05,f118a2afc5a94265c4984ef0ce358260025f4173baae7d4192be1697c08d4066,1deb6629-d489-4738-8d3a-00f054486cdc,e68a685d-4421-405d-84b3-ab32126f796a,b9c49dc8-0ae4-481e-9167-e626b25c2f44,custom_domain_taxonomy:1.0.0|loughran_mcdonald:1993-2025,True,70044,COMPLETED_WITH_WARNINGS,NEEDS_REVIEW
KP2,5b757eb0-ecd2-4b0a-a06b-2289156a8aca,6c8c7f4e-299d-4593-b17b-557707716e28,f118a2afc5a94265c4984ef0ce358260025f4173baae7d4192be1697c08d4066,d40a7341-6dbb-459b-801f-53b47201ee29,2b017095-0a71-44ae-9f0b-b9d2aad4f856,b9c49dc8-0ae4-481e-9167-e626b25c2f44,custom_domain_taxonomy:1.0.0|loughran_mcdonald:1993-2025,True,70044,COMPLETED_WITH_WARNINGS,NEEDS_REVIEW
KP2,4304dbf2-4d9f-4c85-91dc-6913ab4f6739,70d2dfa6-f221-4330-8ba7-ee9f1e820a04,f118a2afc5a94265c4984ef0ce358260025f4173baae7d4192be1697c08d4066,3e4a502b-ca51-46e4-b202-126f1bee8ec1,8d34700b-d0fc-4232-bca0-d41d8f43e087,b9c49dc8-0ae4-481e-9167-e626b25c2f44,custom_domain_taxonomy:1.0.0|loughran_mcdonald:1993-2025,True,70044,COMPLETED_WITH_WARNINGS,NEEDS_REVIEW
KP2,3be59506-3d38-4040-a4fa-da7bd764ab81,1bab308e-5a9d-4042-ad85-1b9da5a82895,f118a2afc5a94265c4984ef0ce358260025f4173baae7d4192be1697c08d4066,7aa7ecc4-3c28-486b-a462-9e49593fce48,f53d299c-879a-4d80-8c05-42adabc0e27b,b9c49dc8-0ae4-481e-9167-e626b25c2f44,custom_domain_taxonomy:1.0.0|loughran_mcdonald:1993-2025,True,70044,COMPLETED_WITH_WARNINGS,NEEDS_REVIEW
SBP,0594cd10-bac7-4150-8f96-6d1218bd03eb,4221acfa-5c87-499b-b54f-699534b86b8a,f118a2afc5a94265c4984ef0ce358260025f4173baae7d4192be1697c08d4066,ead4e778-8296-4444-b04f-df267854771e,3246e31b-5a70-4cbe-8de1-a02565650bd5,b9c49dc8-0ae4-481e-9167-e626b25c2f44,custom_domain_taxonomy:1.0.0|loughran_mcdonald:1993-2025,True,70044,COMPLETED_WITH_WARNINGS,NEEDS_REVIEW
SBP,d1b5fcd2-1fa7-4511-8a01-e5743baa9bc3,c6241d58-5b84-47ec-8211-e78497c2342d,f118a2afc5a94265c4984ef0ce358260025f4173baae7d4192be1697c08d4066,bbb19357-84ea-4a1d-baa0-619d63779a73,751bef63-9124-4ce8-8fab-e8266decb6e0,b9c49dc8-0ae4-481e-9167-e626b25c2f44,custom_domain_taxonomy:1.0.0|loughran_mcdonald:1993-2025,True,70044,COMPLETED_WITH_WARNINGS,NEEDS_REVIEW
SDL,60caa2a3-661d-4ee2-92ef-539768f8068c,371bf243-fb20-4295-9c49-6449355caaaa,f118a2afc5a94265c4984ef0ce358260025f4173baae7d4192be1697c08d4066,66bff739-f37c-4956-b40f-8b1e2946e9f8,b5a3b891-31a8-4cbb-acb1-efea6292b6b0,b9c49dc8-0ae4-481e-9167-e626b25c2f44,custom_domain_taxonomy:1.0.0|loughran_mcdonald:1993-2025,True,70044,COMPLETED_WITH_WARNINGS,NEEDS_REVIEW
SUR,2c91bda6-fee7-4796-852e-7ccebc4e8add,ee9cd571-c9d6-43d7-9293-67f037795906,f118a2afc5a94265c4984ef0ce358260025f4173baae7d4192be1697c08d4066,a10ca6c2-4eb1-40d9-a5cf-2f9c0c86c3ea,d63d38d2-f1b5-4c49-ae7f-0f17afc31b04,b9c49dc8-0ae4-481e-9167-e626b25c2f44,custom_domain_taxonomy:1.0.0|loughran_mcdonald:1993-2025,True,70044,COMPLETED_WITH_WARNINGS,NEEDS_REVIEW
SUR,bbd302a8-7777-42b1-afaa-d7bae792b638,51e4ba56-eea4-4dc7-b953-17cc14206ecd,f118a2afc5a94265c4984ef0ce358260025f4173baae7d4192be1697c08d4066,bf587226-0300-46ee-a777-b3fd8be4823a,5554bec3-80fe-447b-8726-d02284ed45a3,b9c49dc8-0ae4-481e-9167-e626b25c2f44,custom_domain_taxonomy:1.0.0|loughran_mcdonald:1993-2025,True,70044,COMPLETED_WITH_WARNINGS,NEEDS_REVIEW
