ticker,report_pair_id,baseline_net_tone_change,variant_net_tone_change,baseline_uncertainty_rate_change,variant_uncertainty_rate_change,baseline_words,variant_words,words_excluded,pct_words_excluded
ACT,3508eec4-4453-48f1-97fb-8533ed6f554e,0.05311658452871271,0.05311658452871271,-0.40901799051024845,-0.40901799051024845,75360,75360,0,0.0
ACT,efc86601-4fe3-4420-ac32-87638b0fa2ca,4.6052677024129025,4.6052677024129025,0.470769488080359,0.470769488080359,95169,95169,0,0.0
ACT,7022dc8d-a738-42dd-87d0-1c3671a93aba,-6.579886746621122,-6.579886746621122,-0.04441208355277659,-0.04441208355277659,75599,75599,0,0.0
ACT,d4b52e4b-2e0c-44f7-93b6-83b1fe0e6d43,3.5795524585380445,3.5795524585380445,-0.8859213463686268,-0.8859213463686268,65233,65233,0,0.0
ACT,01cdd41c-b18e-42ae-9105-7d4105383940,-1.9748438324375588,-1.9748438324375588,0.6905135529241031,0.6905135529241031,73740,73740,0,0.0
ACT,8b48a478-e2cb-404b-9684-c7a06d955979,4.467694352471748,4.467694352471748,-0.3788777546359654,-0.3788777546359654,97078,97078,0,0.0
ACT,f186f164-e96f-49e3-9aca-46422253fdf6,4.41040445534404,4.41040445534404,0.27152911168575145,0.27152911168575145,93253,93253,0,0.0
ACT,1bd7426f-c90f-40bf-a674-ceba14e90b2d,2.8258159750697054,2.8258159750697054,-0.5241375539883002,-0.5241375539883002,87308,87308,0,0.0
ACT,6f19666e-09f0-4284-b84c-d6d79da10f5f,-2.451732244362976,-2.451732244362976,0.05179906709377313,0.05179906709377313,78906,78906,0,0.0
BEL,15448205-d33c-49ad-9637-b06e00e113fa,1.270871576141559,1.270871576141559,0.16615342721125703,0.16615342721125703,68969,68969,0,0.0
BEL,9586003a-ee0f-45b8-83ed-1eeb58a36532,-1.0583150486080957,-1.0583150486080957,0.4882473758909409,0.4882473758909409,72141,72141,0,0.0
BEL,f2bf4ba7-cd10-4079-b827-e8a9ee1af1f3,-3.825999233824822,-3.8460103225991347,-0.02653165251050993,-0.013752729156139232,86269,86188,81,0.0009389235994389642
BEL,99605b80-c80b-483a-9156-3405eb9a5c71,2.9661756517271485,2.986186740501461,2.175312159999283,2.1625332366449124,74210,74129,81,0.0010914971028163321
BEL,797dd800-261d-4097-8bc9-86a0d1d27555,-0.4427008280101532,-0.3528237287142435,-2.4952280939349896,-2.5215025526672905,73993,73891,102,0.001378508777857365
BEL,f61ef31c-7a51-4fcc-8d4b-e9c04f9db807,-0.9376005221142467,-1.0217703378854743,-0.16717520903604832,-0.12104415970745563,94996,94763,233,0.0024527348519937683
KP2,393f45ef-e61e-47f4-8ea5-f299cb518d79,-0.42749106311591856,-0.42749106311591856,0.9669371594439049,0.9669371594439049,94203,94203,0,0.0
KP2,6b6ff484-ea7d-4b87-9768-2d51318ec849,-0.7023485521018014,-0.7023485521018014,0.738418334805413,0.738418334805413,95387,95387,0,0.0
KP2,5b757eb0-ecd2-4b0a-a06b-2289156a8aca,-0.43579293765469895,-0.43579293765469895,-1.2030810134018939,-1.2030810134018939,91844,91844,0,0.0
KP2,4304dbf2-4d9f-4c85-91dc-6913ab4f6739,0.8223806152245094,0.8223806152245094,0.9398184667452227,0.9398184667452227,91468,91468,0,0.0
KP2,3be59506-3d38-4040-a4fa-da7bd764ab81,0.17592133062439697,0.17592133062439697,-0.2797968786402709,-0.2797968786402709,92385,92385,0,0.0
SBP,0594cd10-bac7-4150-8f96-6d1218bd03eb,0.10979961570134567,0.10979961570134567,-0.6587976942080704,-0.6587976942080704,36430,36430,0,0.0
SBP,d1b5fcd2-1fa7-4511-8a01-e5743baa9bc3,0.9843247876969823,0.9843247876969823,0.5776280061862593,0.5776280061862593,35429,35429,0,0.0
SDL,60caa2a3-661d-4ee2-92ef-539768f8068c,0.9263268999940202,0.9263268999940202,-0.4571296383019341,-0.4571296383019341,35355,35355,0,0.0
SUR,2c91bda6-fee7-4796-852e-7ccebc4e8add,5.915236534726697,5.915236534726697,0.5393520863273267,0.5393520863273267,123114,123114,0,0.0
SUR,bbd302a8-7777-42b1-afaa-d7bae792b638,2.517501629644098,2.517501629644098,-2.618553429244951,-2.618553429244951,121257,121257,0,0.0
