publication_id,target_embedding_id,target_passage_id,dimensions_ok,vector_nonzero
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,6efb0744-0f59-534e-a417-c3e55f84605a,00670aa6-471d-5c34-a997-bb5ad61f8a5d,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,57d32289-3da7-5e72-8172-1bf9ff56291b,0068a120-deca-5758-af49-7e62996b3def,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,04287e06-9db9-5943-8e93-8976a5bca284,006941e6-d60d-503a-a22c-00eb97bdfbb9,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,006a011b-588b-5382-9e9a-83f4c847a895,006c4a92-c15a-5696-97ba-4dfa2a957c28,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,c348e467-873d-5346-823f-2a03e1ad5a2c,006c7abe-c7d0-5b7d-a4a1-34191a25df98,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,f2ac47fd-01a3-5c3c-af21-8420fac63f0d,007160e4-774e-50eb-b0d8-9c9a2b3d72cf,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,77e7e855-f5fc-589d-b6ff-f344ab3312a3,0075c09e-6c80-5ba0-947d-789c1dd87c11,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,2c345ad6-a3d4-5632-8862-2fd6ff67b0a8,00774b7f-04f7-5d61-92a2-d36e3da02d01,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,724085ce-2adc-55b9-b55d-a6e9fb077d52,007cd5e2-b1ff-583d-9db3-b5280c22d758,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,32d3055b-7be6-5778-8106-cab8f18c4e14,00866318-96b3-5915-b99d-beb17fe0a212,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,52ae6107-6ce4-5c84-95f8-61d083ea9290,008d1019-7075-5b71-a8bc-aaa1ccc7635c,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,24fc065a-9dec-57a4-bae3-bac6118913b0,008e78bb-c2d8-5161-8e7c-efd9354c5d74,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,a7d6f195-770a-5645-8139-24587ff9f760,008ef631-044c-54b3-8c78-9daee3c3af16,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,c9971aff-1e00-5a85-b160-48d3ffc485a3,008fbedf-5336-5831-ab79-649f77f8587a,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,4c47bc06-9576-502a-a719-1a12bb8c2460,0090a4b4-b346-5094-8baa-1bb547fa0784,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,f13f48f9-38ab-5ba5-8975-bc4707cc0b2c,00918d45-72f3-5b83-a53a-23dad5f4303f,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,b31d5d1c-ab81-57ce-8712-1163b863d5ab,009253b2-2e30-529e-b68d-5c9f25772808,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,7f280bf2-86af-5c6e-8af1-320041e14826,00a1014f-3ee7-5aaa-8891-e9797f42a84a,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,53d53630-9c76-5df4-9ef0-cca1a3a65d5d,00a3ad9f-d23d-5812-9dd8-b759f5debcdd,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,926d34d2-fb74-5ef7-b4c3-f4f87b6c1614,00a7a730-1bab-545b-902a-0af9080df979,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,a2952710-2188-568c-9803-b88b095a3897,00aa3337-9c7b-5b5b-9966-1b5ba6ff985b,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,2ed9ef3b-6b56-5b39-94c7-f2a381f18261,00afaadb-2843-5ab8-92ce-02750956a7fc,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,c36043db-013f-59b0-8923-a1ad8ea19ee8,00ba21a0-bd62-5cb0-b20f-b1ad9bd60214,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,b4dbc03b-4dba-5e9c-a282-6f2b22a3b75b,00bced0f-f383-59f1-bca5-09c35252afb4,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,3cf6c5fa-b2fe-57f3-a617-58100d7d8602,00bfe1b4-0aa3-5608-b0ee-d4dfe65e7ef2,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,53d577b2-b5b8-56d1-adec-bec0f92cc2bf,00c0da6b-1072-5abf-b87e-4275e5f69b4f,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,0a526f63-d7c0-5975-90e4-66541ed822aa,00cd9872-bf26-597c-804b-31e04587b824,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,8502e2fd-6c10-55da-aba4-3d339bbef478,00cdd7a6-9ede-516b-b908-c8dd843715d7,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,7c572137-3b64-5c6d-a2dd-b1c0833b96d3,00ce13ac-4a56-5297-92c3-bb9a14bf7b44,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,8e71ba96-f624-5f53-b45e-79e948166d7d,00ce4419-2eb8-59e6-9124-55736d349e0c,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,7a9fe4be-770f-577a-9268-b180965d0610,00d044d2-c80e-575b-ab78-cfc9747675e4,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,2b29ab7a-1dd3-54a8-ae43-24a75632990d,00d596cb-a522-5110-8240-9fee6bfb4f45,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,555e8879-2312-58e1-8ebf-486bdae0a480,00d74bd9-3449-5e9a-8fe7-9039a94243a1,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,6533fa5e-1647-5c21-b825-953c0745d675,00d93f65-01a2-54d8-9d21-7822890d1efa,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,e8ec2889-0a21-5bf9-b6cd-fbb68c635a7c,00dad1b3-a0c6-5d32-9eec-d87d3ad217b3,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,72429292-4cf5-5d00-b0cc-af7528f121d0,00dda700-951a-5878-8dd5-d76902f73344,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,024c1106-e99b-5017-873e-d872ad58a84f,00e3b526-aecb-5830-bfab-fa8d0841f8dd,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,16d75a76-1b63-5bb6-a064-cb5eb2121a55,00e85cc4-5a44-5782-9748-ea7a9acc4607,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,5556eae4-7db0-5c8e-8606-ac1051cf4eaa,00ecfafe-65dc-5bf0-ac44-bc2c6f43cd2a,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,2858e406-25db-572d-a5c8-e4782b66e3db,00f56a3a-1b7e-5ed7-aaa9-1cf55e3f3fed,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,c92c8f35-66fe-5328-8943-35e3049a7a75,00f8c9ad-d4ed-5dd9-84bb-a845c970072f,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,35cf3bf8-c283-59e2-8e3f-3ac9af948250,00fcc6ad-0bfd-5474-b19f-2bf700cde3eb,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,c90d987d-fa96-5a53-9d3d-101db7de313f,010018dc-a28d-54b8-996b-23dc5194fd33,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,c7796ebd-5ae7-50ca-8ea3-daeaae584f85,01077cd1-2806-5020-8d0a-ef0b37ed4197,True,True
