publication_id,publication_version,status,source_schema_version,source_configuration_hash,started_at,completed_at,activated_at,company_count,report_count,comparison_count,passage_count,passage_comparison_count,language_metric_count,passage_language_signal_count,discovery_item_count,qa_chunk_count,qa_chunk_passage_mapping_count,failure_reason
da8ea417-66da-5fb4-a527-64f7515fb9e9,2026-07-27.1,SUPERSEDED,18e705b62fee,2786b28dd030683b7c99e4272719239337059148b4761b790f9e0257d5720292,2026-07-27T19:31:04.902573+00:00,2026-07-27T19:32:45.954702+00:00,2026-07-27T19:33:53.882558+00:00,6,30,25,22169,26473,450,269819,49,,,
1dbbf2c1-8599-59c8-8388-7a20ea970b1c,2026-07-27.2,SUPERSEDED,18e705b62fee,2786b28dd030683b7c99e4272719239337059148b4761b790f9e0257d5720292,2026-07-27T20:23:32.939151+00:00,2026-07-27T20:25:13.648718+00:00,2026-07-27T20:25:50.778734+00:00,6,30,25,22169,26473,450,269819,49,,,
58de683a-2f6d-526e-bed5-266821a1a3cb,2026-07-29.1,ACTIVE,18e705b62fee,2786b28dd030683b7c99e4272719239337059148b4761b790f9e0257d5720292,2026-07-29T14:41:58.549327+00:00,2026-07-29T14:45:02.628181+00:00,2026-07-29T14:45:41.829568+00:00,6,30,25,22169,26473,450,269819,49,,,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,2026-07-31.1,READY,18e705b62fee,2786b28dd030683b7c99e4272719239337059148b4761b790f9e0257d5720292,2026-07-31T12:15:13.195746+00:00,2026-07-31T12:30:27.749811+00:00,,6,30,25,22169,26473,450,269819,49,6107,27890,
