ticker,pairs_current,pairs_primary_eligible,mean_net_tone_change,mean_uncertainty_rate_change,mean_risk_language_introduction,mean_governance_language_change,mean_financial_condition_language_change,mean_dictionary_match_rate
ACT,9,8,0.9928209672159439,-0.08419505658577009,0.03304550645518775,0.011067350395171458,-0.1790436655935881,0.0643417107327381
BEL,6,6,-0.3379280674481017,0.023463001269988865,0.573233491323936,-0.005478151938187015,0.17771491120567687,0.055276940599628274
KP2,5,5,-0.1134661214047025,0.23245921379047516,1.9537801032474296,-0.1143654555652669,0.03997957675084143,0.046371058044357406
SBP,2,1,0.547062201699164,-0.04058484401090556,0.0,0.09446568540356215,-0.525080272710506,0.04756956161204115
SDL,1,1,0.9263268999940202,-0.4571296383019341,0.29806259314456035,-0.47286459035957984,0.0919328254447942,0.05105359920803281
SUR,2,2,4.216369082185397,-1.0396006714588122,0.07716049382716049,-0.04381201704561399,-0.2688113224193478,0.05647922673397561
