name,version,source,source_hash,license_notes,term_count,created_at
custom_domain_taxonomy,1.0.0,Authored by this project (config/financial_language_custom_taxonomy.yaml).,195ce77b94ff70416eb4c16f6d79508b4d6ab68b342a6f3189feb6fdc11a53aa,Authored by this project; no third-party licensing restrictions.,138,2026-07-27T14:54:12.886294+00:00
loughran_mcdonald,1993-2025,Loughran-McDonald Master Dictionary (https://sraf.nd.edu/loughranmcdonald-master-dictionary/). Free for academic/non-commercial research use; a commercial license must be obtained separately for commercial use -- contact the authors directly.,e2d1328682bab7d2187684fb9f5420bb730401c9eefc00daf835edd203f4859d,Free for academic/non-commercial research use per the publisher's terms; not redistributed in this repository -- obtain the source CSV directly from sraf.nd.edu and import locally.,7413,2026-07-27T15:18:59.708381+00:00
