ticker,report_pair_id,population,analyzed_words,words_vs_baseline_pct,net_tone_change,net_tone_change_delta_vs_baseline,positive_rate_change,negative_rate_change,uncertainty_rate_change,litigious_rate_change,constraining_rate_change,strong_modal_rate_change,weak_modal_rate_change
ACT,3508eec4-4453-48f1-97fb-8533ed6f554e,1_all_alignments,75360,1.0,0.05311658452871271,0.0,0.3404474641514419,0.2873308796227292,-0.40901799051024845,0.9473612956517199,0.15160164763029327,-0.046822569379639134,-0.4497283060916608
ACT,3508eec4-4453-48f1-97fb-8533ed6f554e,2_exclude_needs_review,23511,0.31198248407643314,-1.9213230872662823,-1.974439671794995,0.8611633509259846,2.782486438192267,-0.15608044648407038,1.6869550634253052,-0.5952576774388563,-0.6831920652757617,-0.9546632063475025
ACT,3508eec4-4453-48f1-97fb-8533ed6f554e,3_high_medium_low,23511,0.31198248407643314,-1.9213230872662823,-1.974439671794995,0.8611633509259846,2.782486438192267,-0.15608044648407038,1.6869550634253052,-0.5952576774388563,-0.6831920652757617,-0.9546632063475025
ACT,3508eec4-4453-48f1-97fb-8533ed6f554e,4_high_medium_only,22083,0.29303343949044586,-2.8827647030486308,-2.9358812875773435,0.7618793518096467,3.6446440548582775,-0.23513513847354872,1.0727083402814062,-0.7626698881020584,-0.7112356205771655,-0.5745716590268746
ACT,3508eec4-4453-48f1-97fb-8533ed6f554e,5_high_only,21579,0.2863455414012739,-2.708979805744498,-2.7620963902732107,0.8150227756677282,3.524002581412226,-0.33277447653280845,1.1719407643464512,-0.6949357968296246,-0.8147031656679431,-0.6479185744288332
ACT,3508eec4-4453-48f1-97fb-8533ed6f554e,6_exclude_ambiguous,74149,0.9839304670912952,0.31332814223357275,0.26021155770486004,0.7294715158399043,0.4161433736063316,-0.41347400116828226,0.8476625653345646,0.22261823832387684,-0.057805594909149605,-0.4470361925799504
ACT,3508eec4-4453-48f1-97fb-8533ed6f554e,7_exclude_collision_flagged,25181,0.33414278131634817,-2.468659781841721,-2.5217763663704336,0.15714989600067497,2.625809677842396,-0.15916358286565213,1.9778774334661717,-0.624819171869377,-0.487318553673842,-1.0072803645457118
ACT,3508eec4-4453-48f1-97fb-8533ed6f554e,8_exclude_split_merge_flagged,75360,1.0,0.05311658452871271,0.0,0.3404474641514419,0.2873308796227292,-0.40901799051024845,0.9473612956517199,0.15160164763029327,-0.046822569379639134,-0.4497283060916608
ACT,efc86601-4fe3-4420-ac32-87638b0fa2ca,1_all_alignments,95169,1.0,4.6052677024129025,0.0,4.56919481847096,-0.036072883941942635,0.470769488080359,-3.158425764662664,-1.1910932834518952,1.0392457676052773,-0.44375528937400377
ACT,efc86601-4fe3-4420-ac32-87638b0fa2ca,2_exclude_needs_review,35099,0.36880706952894327,4.3266740805509825,-0.27859362186192005,3.612924965174228,-0.7137491153767543,1.727297114302294,-7.447071598422861,-2.471752776689299,3.709597405988313,-1.5018937625841096
