ticker,report_pair_id,dictionary_match_rate_combined,dictionary_match_rate_earlier_primary,dictionary_match_rate_later_primary,dictionary_match_rate_earlier_all_passages,dictionary_match_rate_later_all_passages,primary_narrative_coverage,meets_0_05_threshold_earlier,meets_0_05_threshold_later
ACT,3508eec4-4453-48f1-97fb-8533ed6f554e,0.06445063694267517,0.06447650410328785,0.06442395816486064,0.06516807589193647,0.06304263166334502,0.9891859692533278,True,True
ACT,efc86601-4fe3-4420-ac32-87638b0fa2ca,0.063413506498965,0.06311201216421693,0.0637378937265509,0.06251316721889184,0.06192296742180827,0.9758548926390958,True,True
ACT,7022dc8d-a738-42dd-87d0-1c3671a93aba,0.06287120200002645,0.0637378937265509,0.06153587632330701,0.06192296742180827,0.05984863861745005,0.9717909181099915,True,True
ACT,d4b52e4b-2e0c-44f7-93b6-83b1fe0e6d43,0.06137997639231677,0.06153587632330701,0.06124922487175151,0.05984863861745005,0.059079648675024396,0.9729751511081263,True,True
ACT,01cdd41c-b18e-42ae-9105-7d4105383940,0.06292378627610523,0.06124922487175151,0.06447650410328785,0.059079648675024396,0.06516807589193647,0.9825606430314339,True,True
ACT,8b48a478-e2cb-404b-9684-c7a06d955979,0.06617359236902284,0.06311201216421693,0.06933595795028584,0.06251316721889184,0.06738450850989927,0.9859980919243504,True,True
ACT,f186f164-e96f-49e3-9aca-46422253fdf6,0.06790130076244195,0.0663956043956044,0.06933595795028584,0.06353753628412605,0.06738450850989927,0.9927846569220743,True,True
ACT,1bd7426f-c90f-40bf-a674-ceba14e90b2d,0.06549228020341778,0.06450918484500574,0.0663956043956044,0.06269119304459829,0.06353753628412605,0.9916403800892605,True,True
ACT,6f19666e-09f0-4284-b84c-d6d79da10f5f,0.06446911514967175,0.06442395816486064,0.06450918484500574,0.06304263166334502,0.06269119304459829,0.9910435928477304,True,True
BEL,15448205-d33c-49ad-9637-b06e00e113fa,0.0538357812930447,0.05342351895904388,0.05425787898350842,0.05271403050707709,0.05355246240706579,0.9847428737718775,True,True
BEL,9586003a-ee0f-45b8-83ed-1eeb58a36532,0.052979581652596995,0.05425787898350842,0.051835115466463494,0.05355246240706579,0.0511012775319383,0.9859324069308629,True,True
BEL,f2bf4ba7-cd10-4079-b827-e8a9ee1af1f3,0.05346068692114201,0.051835115466463494,0.05474422271086587,0.0511012775319383,0.05392417528311177,0.9884217947870536,True,True
BEL,99605b80-c80b-483a-9156-3405eb9a5c71,0.05687912680231775,0.05474422271086587,0.06083679433933241,0.05392417528311177,0.059074939331377446,0.9893090426617677,True,True
BEL,797dd800-261d-4097-8bc9-86a0d1d27555,0.05845147513954023,0.06083679433933241,0.057158932255308506,0.059074939331377446,0.055231209403031244,0.9869165710828491,True,True
BEL,f61ef31c-7a51-4fcc-8d4b-e9c04f9db807,0.05605499178912796,0.057158932255308506,0.05492798944838003,0.055231209403031244,0.05331681318465199,0.9872288569339508,True,True
KP2,393f45ef-e61e-47f4-8ea5-f299cb518d79,0.0489474857488615,0.0475879640352909,0.05032967973968145,0.04696641820950549,0.048781971968114235,0.9767763005372496,False,True
KP2,6b6ff484-ea7d-4b87-9768-2d51318ec849,0.04506903456445847,0.04327872777700181,0.04705102717031146,0.04222613204926382,0.04638682031867537,0.9590375138386777,False,False
KP2,5b757eb0-ecd2-4b0a-a06b-2289156a8aca,0.04572971560472105,0.04705102717031146,0.044445398720316054,0.04638682031867537,0.04386143036997929,0.9676736539251952,False,False
KP2,4304dbf2-4d9f-4c85-91dc-6913ab4f6739,0.045250798093322255,0.044445398720316054,0.04608633670423665,0.04386143036997929,0.04521452850759989,0.9750164023202774,False,False
KP2,3be59506-3d38-4040-a4fa-da7bd764ab81,0.04685825621042377,0.04608633670423665,0.0475879640352909,0.04521452850759989,0.04696641820950549,0.9801313543983038,False,False
SBP,0594cd10-bac7-4150-8f96-6d1218bd03eb,0.047268734559429045,0.04660993686522097,0.04792753225363711,0.045400176816267096,0.04663965929157578,0.9901514954655303,False,False
SBP,d1b5fcd2-1fa7-4511-8a01-e5743baa9bc3,0.04787038866465325,0.04920413616823516,0.04660993686522097,0.04769449300699301,0.045400176816267096,0.9916873151626568,False,False
SDL,60caa2a3-661d-4ee2-92ef-539768f8068c,0.05105359920803281,0.0499801215425683,0.05211854856885283,0.04787041349686902,0.05017309977781222,0.9654307580928742,False,True
SUR,2c91bda6-fee7-4796-852e-7ccebc4e8add,0.05654109199603619,0.054904069083700144,0.05807334255881243,0.05332643023556821,0.05729054747749684,0.9284711785674363,True,True
SUR,bbd302a8-7777-42b1-afaa-d7bae792b638,0.05641736147191502,0.05787640722442699,0.054904069083700144,0.05885919981421033,0.05332643023556821,0.9239437347755013,True,True
__CORPUS_SUMMARY__,,,0.04327872777700181,0.054916029266040084,0.05611455579998983,0.06933595795028584,min/median/mean/max in the 4 numeric columns to the left,,
