publication_id,discovery_type,rank_scope,rank,percentile,score,supporting_metric_key,supporting_value,ticker,target_comparison_id
1dbbf2c1-8599-59c8-8388-7a20ea970b1c,largest_risk_introduction,company_history,4,40.0,1.4257376642697743,risk_language_introduction,1.4257376642697743,KP2,53b823f2-de26-5f7b-9fd6-ba8a41f65f16
1dbbf2c1-8599-59c8-8388-7a20ea970b1c,largest_risk_introduction,company_history,5,20.0,1.2031990940618587,risk_language_introduction,1.2031990940618587,KP2,2d37417f-c24e-5134-8617-3a04f225d52a
1dbbf2c1-8599-59c8-8388-7a20ea970b1c,largest_risk_introduction,corpus,1,100.0,2.4744198488597604,risk_language_introduction,2.4744198488597604,KP2,fafa4d9a-7b04-52e4-b211-ff130bf6664f
1dbbf2c1-8599-59c8-8388-7a20ea970b1c,largest_risk_introduction,corpus,2,83.33333333333333,2.386634844868735,risk_language_introduction,2.386634844868735,KP2,6d39c0dc-4039-5b94-a3d6-7f250620c0c3
1dbbf2c1-8599-59c8-8388-7a20ea970b1c,largest_risk_introduction,corpus,3,66.66666666666667,2.2789090641770198,risk_language_introduction,2.2789090641770198,KP2,ed012928-acab-5f62-bb6d-71c7ee288a34
1dbbf2c1-8599-59c8-8388-7a20ea970b1c,largest_risk_introduction,corpus,4,50.0,1.5739769150052465,risk_language_introduction,1.5739769150052465,BEL,ac31ff4d-62fa-5f1e-b571-49aefffb97cf
1dbbf2c1-8599-59c8-8388-7a20ea970b1c,largest_risk_introduction,corpus,5,33.333333333333336,1.4257376642697743,risk_language_introduction,1.4257376642697743,KP2,53b823f2-de26-5f7b-9fd6-ba8a41f65f16
1dbbf2c1-8599-59c8-8388-7a20ea970b1c,largest_risk_introduction,corpus,6,16.666666666666668,1.2031990940618587,risk_language_introduction,1.2031990940618587,KP2,2d37417f-c24e-5134-8617-3a04f225d52a
1dbbf2c1-8599-59c8-8388-7a20ea970b1c,largest_risk_introduction,latest_comparisons,1,100.0,1.2031990940618587,risk_language_introduction,1.2031990940618587,KP2,2d37417f-c24e-5134-8617-3a04f225d52a
1dbbf2c1-8599-59c8-8388-7a20ea970b1c,largest_risk_removal,company_history,1,100.0,2.5337302844112246,risk_language_removal,2.5337302844112246,KP2,53b823f2-de26-5f7b-9fd6-ba8a41f65f16
