ticker,pairs_current,pairs_primary_eligible,mean_net_tone_change,mean_uncertainty_rate_change,mean_negative_rate_change,mean_litigious_rate_change,mean_constraining_rate_change,mean_strong_modal_rate_change,mean_weak_modal_rate_change,mean_risk_language_introduction,mean_governance_language_change,mean_dictionary_match_rate,mean_low_confidence_share
ACT,9,0,0.9928209672159439,-0.08419505658577009,0.9758744967352269,-0.5787165609374991,-0.2642742549091817,-0.3072869786508325,-0.3033554261802418,0.03304550645518775,0.011067350395171458,0.0643417107327381,0.38870621790782245
BEL,6,0,-0.3379280674481017,0.023463001269988865,-0.006538032936077798,0.09714078634704408,0.1535738096577471,0.12250527306598132,0.05637845417399471,0.573233491323936,-0.005478151938187015,0.055276940599628274,0.46025332275985253
KP2,5,0,-0.1134661214047025,0.23245921379047516,0.2353592610417845,0.22515928927713497,0.20724223248750526,0.13047401944666123,-0.022789283113479452,1.9537801032474296,-0.1143654555652669,0.046371058044357406,0.5865071498259875
SBP,2,0,0.547062201699164,-0.04058484401090556,-0.33549510495848844,0.15287207735623398,-0.3096414223547077,0.026796106980443213,0.13787780254445647,0.0,0.09446568540356215,0.04756956161204115,0.8156136021141371
SDL,1,0,0.9263268999940202,-0.4571296383019341,0.8766355565831763,-0.10642933405189936,0.3519963497215306,0.03739331193687079,-0.25380410466625136,0.29806259314456035,-0.47286459035957984,0.05105359920803281,0.6094986807387863
SUR,2,0,4.216369082185397,-1.0396006714588122,-0.9606274981137091,-0.4600633046768965,-0.4623705744677924,0.38431210699805973,-0.1034597044373643,0.07716049382716049,-0.04381201704561399,0.05647922673397561,0.41652176575901306
