publication_id,target_chunk_id,target_report_id,dimensions_ok,vector_nonzero
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,2a2a8c83-10ce-5d2f-a8a8-416a48fbfbed,0a92ae51-2df7-5f52-b0fa-50695661c41a,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,b217e851-717e-52c5-9e61-3d277104becb,0a92ae51-2df7-5f52-b0fa-50695661c41a,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,8dfd8620-5de5-59e5-82b6-2a255180a052,0a92ae51-2df7-5f52-b0fa-50695661c41a,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,ab41797a-eb89-5eee-b2f2-a177acf6a7ac,0a92ae51-2df7-5f52-b0fa-50695661c41a,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,5d5eb991-2869-5340-8a52-7313fca737cb,0a92ae51-2df7-5f52-b0fa-50695661c41a,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,ff1c885f-9794-515a-a06b-7648d394355a,0a92ae51-2df7-5f52-b0fa-50695661c41a,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,3acbb03d-ceea-5521-83e0-7627fd362166,0a92ae51-2df7-5f52-b0fa-50695661c41a,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,c1eb88f0-0e41-563f-be0c-d94f8c034f65,0a92ae51-2df7-5f52-b0fa-50695661c41a,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,edfb4a74-450a-5ff2-8fc0-a34100bcdad0,0a92ae51-2df7-5f52-b0fa-50695661c41a,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,ad27be4c-b8a5-502a-8d4e-98ffe534e786,0a92ae51-2df7-5f52-b0fa-50695661c41a,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,a0f577c0-28a7-5371-a12d-59e3979cc329,0a92ae51-2df7-5f52-b0fa-50695661c41a,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,02968f9c-4bcf-54ef-88fb-aa35bebd677c,0a92ae51-2df7-5f52-b0fa-50695661c41a,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,e05932a9-5aa7-5c5f-9899-7ffa4c6c97ce,0a92ae51-2df7-5f52-b0fa-50695661c41a,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,fe704e76-b0e5-52e3-b276-ebc1e01682e6,0a92ae51-2df7-5f52-b0fa-50695661c41a,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,9baf3172-ffd8-5f73-ac42-3e0db15414e8,0a92ae51-2df7-5f52-b0fa-50695661c41a,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,8764f006-5186-5e31-aac3-142dc01e3dfb,0a92ae51-2df7-5f52-b0fa-50695661c41a,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,48deb93b-932c-58c1-ab95-4e86f15d5c50,0a92ae51-2df7-5f52-b0fa-50695661c41a,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,7a1438d6-5198-5f10-b4a3-c539796d8c16,0a92ae51-2df7-5f52-b0fa-50695661c41a,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,fc1e4a5c-c910-5a41-aa0b-5859f27cff81,0a92ae51-2df7-5f52-b0fa-50695661c41a,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,dd945e9a-48af-5fbb-a19c-9850a602d6d5,0a92ae51-2df7-5f52-b0fa-50695661c41a,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,ea12cb6b-f856-542b-a378-3e084f0cb883,0a92ae51-2df7-5f52-b0fa-50695661c41a,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,a6ac5ebf-359e-55ec-bfee-1465a44bbc79,0a92ae51-2df7-5f52-b0fa-50695661c41a,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,e4aeb191-ae97-5733-afc7-c6b0cae34ca8,0a92ae51-2df7-5f52-b0fa-50695661c41a,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,230273ee-2353-557e-9dab-4ba5b2a482bb,0a92ae51-2df7-5f52-b0fa-50695661c41a,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,fd9bf436-2d3b-5d1d-b149-4a28b1bad738,0a92ae51-2df7-5f52-b0fa-50695661c41a,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,0301c1e6-123c-51e8-a3df-014614ff32e5,0a92ae51-2df7-5f52-b0fa-50695661c41a,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,a83e9a4d-5518-5654-ba8c-e1ae58bebcf6,0a92ae51-2df7-5f52-b0fa-50695661c41a,True,True
