publication_id,target_passage_id,target_embedding_id,source_embedding_id,source_embedding_run_id
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,004c38ba-3ad9-5cc1-9d9f-7a79f059ee9c,17b22d5d-d4c6-5183-bc6e-e172ed8110aa,e04813a2-847c-4b85-b6de-8fd891d8daf4,2902a31e-1b4a-414a-8e6b-9f5c9a4f2197
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,005002e1-9163-57ef-a24d-408c02dd1004,0098f7ee-5e10-55a6-9cdd-40ede56fc14a,7508e074-2c39-4887-9e8e-5f983432fec7,edccb4a5-26a8-490f-acd4-7aa5398e2053
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,00509960-8deb-5749-b63b-2acfaf292a17,d4bee086-14b2-55d0-9960-11b25f189d07,f648807d-a9bd-4f38-80e2-dc3581cde7c9,2902a31e-1b4a-414a-8e6b-9f5c9a4f2197
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,00512005-c18d-53cb-a3ba-c820ac17d485,e96c9075-f16b-5ad4-bb0c-c8ad55c41259,d2de3289-51e4-44f5-bebc-41ecc7ff66f8,18094682-0f77-43a9-b8a9-a0279b7e77f5
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,0056bee8-0c91-59ab-9ca9-bbdea0157150,14710c78-ae5b-5292-a110-d5126d78c727,e8ba5e70-6387-40c0-ad96-dd07605ed910,faf17e5b-5744-4274-b339-91fa5eb172f3
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,0057066a-869f-5969-a77c-813e87506f11,eb8aa348-593f-5dfe-b35d-5ee6053d8efb,bd028331-afc0-435d-967f-ed9597e44c2d,d1517770-56a7-432c-a340-b1b61f2fe343
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,005979c0-a92e-5f19-b3c1-2cdd25b91b69,686de1c5-ead7-5464-bbe5-ee0e42d522f4,8d5ce62f-adb2-42df-9648-eacce43e0d84,9657e887-83e8-4f95-b0e6-c56b62aa50eb
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,005a3d0d-28a8-5109-99be-be03c5a8283d,b14e9278-e516-52b2-b9b7-89e195b83bdc,ea8da0c1-4a49-44e9-9f08-cfc1d055c740,faf17e5b-5744-4274-b339-91fa5eb172f3
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,005d3f6a-e720-5e74-a09c-1511206c4d24,fb859256-c6ff-5876-82c2-80853b4cefeb,54e73823-dd74-48d3-b5a5-0ab9cbc6e61c,f95a8f77-cf6c-4dc5-a986-ce2c67f7d891
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,0060e77b-888a-5f27-a574-57a7610f69bd,034eed3b-05c2-5455-bb35-e292f0647df9,e968d7c1-4f2d-4f3c-81aa-5b3b722a7ef0,2902a31e-1b4a-414a-8e6b-9f5c9a4f2197
