publication_id,ticker,source_report_pair_id,target_comparison_id,earlier_period_end,later_period_end,gap_months,is_transition,is_irregular_gap,is_latest_for_company,is_historical_peak_change,disclosure_change_score,disclosure_change_label,disclosure_change_quality,disclosure_change_quality_label,disclosure_change_score_available,disclosure_change_score_displayed,disclosure_change_primary_eligible,discovery_exclusion_reason,report_side_quality,alignment_change_quality,primary_finding_key,secondary_finding_key,tertiary_finding_key
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,BEL,9586003a-ee0f-45b8-83ed-1eeb58a36532,230aa887-7e6d-51d6-8e7f-c843d536dd99,2017-12-31,2018-12-31,12,False,False,False,False,0.439199126668986,Minimal change,NEEDS_REVIEW,Review recommended,True,True,False,disclosure_change_quality=NEEDS_REVIEW; warning: document-level similarity quality is NEEDS_REVIEW; low/needs-review confidence share 0.52 exceeds tolerance (0.25); alignment run completed with warnings: 118 ambiguous alignment(s); exclusion: feature quality is NEEDS_REVIEW,GOOD,USABLE,largest_negative_tone_shift,,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,BEL,f2bf4ba7-cd10-4079-b827-e8a9ee1af1f3,d48f57d9-5f5d-5dd5-bb98-621775ebf970,2018-12-31,2019-12-31,12,False,False,False,False,0.4785081261679596,Minimal change,NEEDS_REVIEW,Review recommended,True,True,False,disclosure_change_quality=NEEDS_REVIEW; warning: document-level similarity quality is NEEDS_REVIEW; low/needs-review confidence share 0.39 exceeds tolerance (0.25); alignment run completed with warnings: 116 ambiguous alignment(s); exclusion: feature quality is NEEDS_REVIEW,GOOD,USABLE,largest_negative_tone_shift,largest_risk_removal,largest_governance_shift
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,BEL,99605b80-c80b-483a-9156-3405eb9a5c71,7c735bcb-a107-59dd-89f6-b348a888fc14,2019-12-31,2020-12-31,12,False,False,False,False,0.5790110838782658,Notable change,NEEDS_REVIEW,Review recommended,True,True,False,disclosure_change_quality=NEEDS_REVIEW; warning: document-level similarity quality is NEEDS_REVIEW; low/needs-review confidence share 0.37 exceeds tolerance (0.25); alignment run completed with warnings: 82 ambiguous alignment(s); exclusion: feature quality is NEEDS_REVIEW,GOOD,USABLE,largest_uncertainty_increase,largest_risk_introduction,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,BEL,797dd800-261d-4097-8bc9-86a0d1d27555,4daea9fa-13a3-5364-be53-2507908d7084,2020-12-31,2021-12-31,12,False,False,False,False,0.5749662438524388,Notable change,NEEDS_REVIEW,Review recommended,True,True,False,disclosure_change_quality=NEEDS_REVIEW; warning: document-level similarity quality is NEEDS_REVIEW; low/needs-review confidence share 0.38 exceeds tolerance (0.25); alignment run completed with warnings: 64 ambiguous alignment(s); exclusion: feature quality is NEEDS_REVIEW,GOOD,USABLE,,,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,BEL,f61ef31c-7a51-4fcc-8d4b-e9c04f9db807,2fc19b4b-a783-5c7a-9dd5-a1f61aad0c46,2021-12-31,2022-12-31,12,False,False,True,False,0.3998570326755582,Minimal change,NEEDS_REVIEW,Review recommended,True,True,False,disclosure_change_quality=NEEDS_REVIEW; warning: document-level similarity quality is NEEDS_REVIEW; low/needs-review confidence share 0.60 exceeds tolerance (0.25); alignment run completed with warnings: 135 ambiguous alignment(s); exclusion: feature quality is NEEDS_REVIEW,GOOD,USABLE,,,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,KP2,6b6ff484-ea7d-4b87-9768-2d51318ec849,b3155386-f251-50f2-85a9-1a0156ba0988,2019-12-31,2020-12-31,12,False,False,False,False,0.6088207570571017,Substantial change,NEEDS_REVIEW,Review recommended,True,True,False,disclosure_change_quality=NEEDS_REVIEW; warning: low/needs-review confidence share 0.56 exceeds tolerance (0.25); alignment run completed with warnings: 84 ambiguous alignment(s); exclusion: feature quality is NEEDS_REVIEW,USABLE,USABLE,largest_risk_introduction,largest_risk_removal,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,KP2,5b757eb0-ecd2-4b0a-a06b-2289156a8aca,5d329f5b-d76c-5366-a2d8-014cadbc89e2,2020-12-31,2021-12-31,12,False,False,False,False,0.5730307402233571,Notable change,NEEDS_REVIEW,Review recommended,True,True,False,disclosure_change_quality=NEEDS_REVIEW; warning: low/needs-review confidence share 0.65 exceeds tolerance (0.25); alignment run completed with warnings: 106 ambiguous alignment(s); exclusion: feature quality is NEEDS_REVIEW,USABLE,USABLE,largest_risk_removal,largest_risk_introduction,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,KP2,4304dbf2-4d9f-4c85-91dc-6913ab4f6739,24be20fc-14c9-5b26-b96a-f48dad6c56bf,2021-12-31,2022-12-31,12,False,False,False,False,0.5203917959505653,Moderate change,NEEDS_REVIEW,Review recommended,True,True,False,disclosure_change_quality=NEEDS_REVIEW; warning: low/needs-review confidence share 0.57 exceeds tolerance (0.25); alignment run completed with warnings: 67 ambiguous alignment(s); exclusion: feature quality is NEEDS_REVIEW,USABLE,USABLE,largest_risk_introduction,,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,KP2,3be59506-3d38-4040-a4fa-da7bd764ab81,8e3595ee-a37a-52e2-a352-24dc89bb0f57,2022-12-31,2023-12-31,12,False,False,False,False,0.5123169268673661,Moderate change,NEEDS_REVIEW,Review recommended,True,True,False,disclosure_change_quality=NEEDS_REVIEW; warning: low/needs-review confidence share 0.56 exceeds tolerance (0.25); alignment run completed with warnings: 89 ambiguous alignment(s); exclusion: feature quality is NEEDS_REVIEW,USABLE,USABLE,largest_risk_introduction,largest_risk_removal,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,KP2,393f45ef-e61e-47f4-8ea5-f299cb518d79,b75bc2de-b2b6-5d18-b4c9-38881bac1547,2023-12-31,2024-12-31,12,False,False,True,False,0.5499349438843446,Moderate change,NEEDS_REVIEW,Review recommended,True,True,False,disclosure_change_quality=NEEDS_REVIEW; warning: low/needs-review confidence share 0.59 exceeds tolerance (0.25); alignment run completed with warnings: 143 ambiguous alignment(s); exclusion: feature quality is NEEDS_REVIEW,USABLE,USABLE,largest_risk_removal,largest_risk_introduction,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,SBP,d1b5fcd2-1fa7-4511-8a01-e5743baa9bc3,dfcfffe8-0a2b-5695-9fc6-bd53818aa024,2023-12-31,2024-12-31,12,False,False,False,False,0.18699502924779612,Minimal change,NEEDS_REVIEW,Review recommended,True,True,False,disclosure_change_quality=NEEDS_REVIEW; warning: low/needs-review confidence share 0.83 exceeds tolerance (0.25); alignment run completed with warnings: 11 ambiguous alignment(s); exclusion: feature quality is NEEDS_REVIEW,USABLE,NEEDS_REVIEW,largest_financial_condition_shift,,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,SBP,0594cd10-bac7-4150-8f96-6d1218bd03eb,8282017b-6290-54cc-a33b-9dd98af31798,2024-12-31,2025-12-31,12,False,False,True,False,0.2045070928353385,Minimal change,NEEDS_REVIEW,Review recommended,True,True,False,disclosure_change_quality=NEEDS_REVIEW; warning: low/needs-review confidence share 0.80 exceeds tolerance (0.25); alignment run completed with warnings: 18 ambiguous alignment(s); exclusion: feature quality is NEEDS_REVIEW,USABLE,USABLE,,,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,SDL,60caa2a3-661d-4ee2-92ef-539768f8068c,a7b7226e-6683-518e-8de9-9e0aa052e64b,2024-06-30,2025-06-30,12,False,False,True,False,0.4169143214799017,Minimal change,NEEDS_REVIEW,Review recommended,True,True,False,disclosure_change_quality=NEEDS_REVIEW; warning: low/needs-review confidence share 0.61 exceeds tolerance (0.25); alignment run completed with warnings: 54 ambiguous alignment(s); exclusion: feature quality is NEEDS_REVIEW,USABLE,USABLE,,,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,SUR,bbd302a8-7777-42b1-afaa-d7bae792b638,a077bcf4-2307-5185-8fa6-1f20a61d268c,2023-06-30,2024-06-30,12,False,False,False,False,0.4364889872763586,Minimal change,NEEDS_REVIEW,Review recommended,True,True,False,disclosure_change_quality=NEEDS_REVIEW; warning: document-level similarity quality is NEEDS_REVIEW; low/needs-review confidence share 0.44 exceeds tolerance (0.25); alignment run completed with warnings: 361 ambiguous alignment(s); exclusion: feature quality is NEEDS_REVIEW,GOOD,USABLE,,,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,SUR,2c91bda6-fee7-4796-852e-7ccebc4e8add,ea2a080f-8cbe-50ca-b772-b679397b90b6,2024-06-30,2025-06-30,12,False,False,True,False,0.4868964318891139,Minimal change,NEEDS_REVIEW,Review recommended,True,True,False,disclosure_change_quality=NEEDS_REVIEW; warning: document-level similarity quality is NEEDS_REVIEW; low/needs-review confidence share 0.39 exceeds tolerance (0.25); alignment run completed with warnings: 330 ambiguous alignment(s); exclusion: feature quality is NEEDS_REVIEW,GOOD,USABLE,,,
