ticker,company_name,fiscal_year,source_page,source_url,remote_filename,local_path,sha256,bytes_downloaded,page_count,detected_years,discovery_method,validation_status,status,error
SUR,Spur Corporation Limited,2016,https://spurcorporation.com/investor-hub/integrated-reports/,,,,,0,,,archive_page,not_checked,not_discovered,
SUR,Spur Corporation Limited,2017,https://spurcorporation.com/investor-hub/integrated-reports/,,,,,0,,,archive_page,not_checked,not_discovered,
SUR,Spur Corporation Limited,2018,https://spurcorporation.com/investor-hub/integrated-reports/,,,,,0,,,archive_page,not_checked,not_discovered,
SUR,Spur Corporation Limited,2019,https://spurcorporation.com/investor-hub/integrated-reports/,,,,,0,,,archive_page,not_checked,not_discovered,
SUR,Spur Corporation Limited,2020,https://spurcorporation.com/investor-hub/integrated-reports/,,,,,0,,,archive_page,not_checked,not_discovered,
SUR,Spur Corporation Limited,2021,https://spurcorporation.com/investor-hub/integrated-reports/,,,,,0,,,archive_page,not_checked,not_discovered,
SUR,Spur Corporation Limited,2022,https://spurcorporation.com/investor-hub/integrated-reports/,,,,,0,,,archive_page,not_checked,not_discovered,
SUR,Spur Corporation Limited,2023,https://spurcorporation.com/investor-hub/integrated-reports/,https://spurcorporation.com/wp-content/uploads/2023/10/Spur-Corporation-Integrated-report-2023.pdf,Spur-Corporation-Integrated-report-2023.pdf,data/raw/SUR/2023/annual_report.pdf,68a2a8b6b34affbeafc4051287da3b28b1dc556a0edae7ad5a0f7cb4740ca96b,16491697,189,2008;2021;2022;2023,archive_page,year_confirmed,downloaded,
SUR,Spur Corporation Limited,2024,https://spurcorporation.com/investor-hub/integrated-reports/,https://spurcorporation.com/wp-content/uploads/2024/10/SPUR-CORP_Integrated-Annual-Report-2024.pdf,SPUR-CORP_Integrated-Annual-Report-2024.pdf,data/raw/SUR/2024/annual_report.pdf,1fb57e6d0095298accb4505219b3206e4e0f884b8d5653a566392cacc426d02c,37531919,208,2008;2023;2024,archive_page,year_confirmed,downloaded,
SUR,Spur Corporation Limited,2025,https://spurcorporation.com/investor-hub/integrated-reports/,https://spurcorporation.com/wp-content/uploads/2025/10/Spur-Corporation-Integrated-report-2025.pdf,Spur-Corporation-Integrated-report-2025.pdf,data/raw/SUR/2025/annual_report.pdf,6b1e4560e5ffe41a157024e69571a21993c199d02eba966032e474298dc8c54c,24002024,192,2008;2014;2023;2024;2025,archive_page,year_confirmed,downloaded,
SBP,Sabvest Capital Limited,2016,https://www.sabvestcapital.com/investment.php,https://www.sabvestcapital.com/pdf/2016/AnnualReport.pdf,AnnualReport.pdf,data/raw/SBP/2016/annual_report.pdf,,0,,,url_pattern,not_checked,not_pdf,content_type=text/html; charset=utf-8
SBP,Sabvest Capital Limited,2017,https://www.sabvestcapital.com/investment.php,https://www.sabvestcapital.com/pdf/2017/AnnualReport.pdf,AnnualReport.pdf,data/raw/SBP/2017/annual_report.pdf,,0,,,url_pattern,not_checked,not_pdf,content_type=text/html; charset=utf-8
SBP,Sabvest Capital Limited,2018,https://www.sabvestcapital.com/investment.php,https://www.sabvestcapital.com/pdf/2018/AnnualReport.pdf,AnnualReport.pdf,data/raw/SBP/2018/annual_report.pdf,,0,,,url_pattern,not_checked,not_pdf,content_type=text/html; charset=utf-8
SBP,Sabvest Capital Limited,2019,https://www.sabvestcapital.com/investment.php,https://www.sabvestcapital.com/pdf/2019/AnnualReport.pdf,AnnualReport.pdf,data/raw/SBP/2019/annual_report.pdf,,0,,,url_pattern,not_checked,not_pdf,content_type=text/html; charset=utf-8
SBP,Sabvest Capital Limited,2020,https://www.sabvestcapital.com/investment.php,https://www.sabvestcapital.com/pdf/2020/AnnualReport.pdf,AnnualReport.pdf,data/raw/SBP/2020/annual_report.pdf,,0,,,url_pattern,not_checked,not_pdf,content_type=text/html; charset=utf-8
