report_id,ticker,company_name,filename,local_path,directory_year,fiscal_label,current_period_start,current_period_end,current_publication_date,current_reporting_months,current_transition_report,metadata_status,metadata_source,pdf_page_count,detected_fiscal_phrase,detected_phrase_page,detection_method,detection_rule_version,detected_period_start,detected_period_end,detected_publication_date,detected_reporting_months,transition_hint,confidence,ambiguity_reason,proposed_period_start,proposed_period_end,proposed_publication_date,proposed_reporting_months,proposed_transition_report,reviewer_status,reviewer_notes
71c5bb69-2abf-4b9a-8167-cc0fc0645540,ACT,AfroCentric Investment Corporation Limited,annual_report.pdf,data/raw/ACT/2016/annual_report.pdf,2016,year ended 30 June 2016,,2016-06-30,2016-09-28,,FALSE,VALIDATED,MANUAL,136,year ended 30 June 2016,5,regex:fiscal_period_v1,1,,2016-06-30,2016-09-28,,FALSE,HIGH,,,2016-06-30,2016-09-28,,FALSE,UNREVIEWED,
923373ad-e6a8-4ca5-96c9-020a5c297d8f,ACT,AfroCentric Investment Corporation Limited,annual_report.pdf,data/raw/ACT/2017/annual_report.pdf,2017,,,2017-06-30,2017-10-03,,FALSE,VALIDATED,MANUAL,146,,,regex:fiscal_period_v1,1,,,2017-10-03,,FALSE,NONE,no fiscal-period phrase detected in scanned pages,,2017-06-30,2017-10-03,,FALSE,CORRECTED,
daf738d9-6e52-4e0d-ac1f-20405909e34b,ACT,AfroCentric Investment Corporation Limited,annual_report.pdf,data/raw/ACT/2018/annual_report.pdf,2018,,,2018-06-30,2018-10-10,,FALSE,VALIDATED,MANUAL,118,,,regex:fiscal_period_v1,1,,,2018-10-10,,FALSE,NONE,no fiscal-period phrase detected in scanned pages,,2018-06-30,2018-10-10,,FALSE,CORRECTED,
b52a299a-4102-4e6c-bf39-cfe728ca20e3,ACT,AfroCentric Investment Corporation Limited,annual_report.pdf,data/raw/ACT/2019/annual_report.pdf,2019,,,2019-06-30,2019-10-08,,FALSE,VALIDATED,MANUAL,138,,,regex:fiscal_period_v1,1,,,2019-10-08,,FALSE,NONE,no fiscal-period phrase detected in scanned pages,,2019-06-30,2019-10-08,,FALSE,CORRECTED,
b8b1c14f-23d4-454d-ae51-f2dfa69fdcef,ACT,AfroCentric Investment Corporation Limited,annual_report.pdf,data/raw/ACT/2020/annual_report.pdf,2020,,,2020-06-30,2020-10-12,,FALSE,VALIDATED,MANUAL,126,,,regex:fiscal_period_v1,1,,,2020-10-12,,FALSE,NONE,no fiscal-period phrase detected in scanned pages,,2020-06-30,2020-10-12,,FALSE,CORRECTED,
34ada83c-783b-46dd-811f-b6a3cfecb8ac,ACT,AfroCentric Investment Corporation Limited,annual_report.pdf,data/raw/ACT/2021/annual_report.pdf,2021,,,2021-06-30,2021-10-06,,FALSE,VALIDATED,MANUAL,134,,,regex:fiscal_period_v1,1,,,2021-10-06,,FALSE,NONE,no fiscal-period phrase detected in scanned pages,,2021-06-30,2021-10-06,,FALSE,CORRECTED,
df83cc42-dc79-40f7-802e-bd6cf9cc0e57,ACT,AfroCentric Investment Corporation Limited,annual_report.pdf,data/raw/ACT/2022/annual_report.pdf,2022,,,2022-06-30,2022-10-06,,FALSE,VALIDATED,MANUAL,150,,,regex:fiscal_period_v1,1,,,2022-10-06,,FALSE,NONE,no fiscal-period phrase detected in scanned pages,,2022-06-30,2022-10-06,,FALSE,CORRECTED,
ccfc1325-dd2d-4f31-af07-f5146a0fdf03,ACT,AfroCentric Investment Corporation Limited,annual_report.pdf,data/raw/ACT/2023/annual_report.pdf,2023,,,2023-06-30,2023-10-08,,FALSE,VALIDATED,MANUAL,162,,,regex:fiscal_period_v1,1,,,2023-10-08,,FALSE,NONE,no fiscal-period phrase detected in scanned pages,,2023-06-30,2023-10-08,,FALSE,CORRECTED,
627c643f-cfeb-4d8c-a6aa-cae4f04f54ae,ACT,AfroCentric Investment Corporation Limited,annual_report.pdf,data/raw/ACT/2024/annual_report.pdf,2024,year ended 30 June 2024,,2024-06-30,2024-10-08,,FALSE,VALIDATED,MANUAL,154,year ended 30 June 2024,5,regex:fiscal_period_v1,1,,2024-06-30,2024-10-08,,FALSE,HIGH,,,2024-06-30,2024-10-08,,FALSE,UNREVIEWED,
ae3729e6-2c8f-42fc-b49f-f1eb11d93422,BEL,Bell Equipment Limited,annual_report.pdf,data/raw/BEL/2016/annual_report.pdf,2016,,,2016-12-31,2017-03-23,,FALSE,VALIDATED,MANUAL,92,,,regex:fiscal_period_v1,1,,,2017-03-23,,FALSE,NONE,no fiscal-period phrase detected in scanned pages,,2016-12-31,2017-03-23,,FALSE,CORRECTED,
58885078-9367-48da-b77b-7ba13c40d30e,BEL,Bell Equipment Limited,annual_report.pdf,data/raw/BEL/2017/annual_report.pdf,2017,,,2017-12-31,2018-03-27,,FALSE,VALIDATED,MANUAL,87,,,regex:fiscal_period_v1,1,,,2018-03-27,,FALSE,NONE,no fiscal-period phrase detected in scanned pages,,2017-12-31,2018-03-27,,FALSE,CORRECTED,
